period,category_code,category,store_count,confirmed_count,coverage_status,has_legacy_ancestor,crosswalk_type,mapping_type,mapping_confidence
2024-03-01,G20602,주류 소매업,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,I20202,마라탕/훠궈,134,134,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10502,옥외/전시 광고 대행업,49,49,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10503,광고 매체 판매업,21,21,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10601,시장 조사 및 여론 조사업,41,41,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10901,건축 설계 및 관련 서비스업,498,498,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10902,도시 계획 및 조경 설계 서비스업,39,39,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10903,건물 및 토목 엔지니어링 서비스업,149,149,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10904,환경 관련 엔지니어링 서비스업,65,65,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M10999,기타 엔지니어링 서비스업,274,274,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M11101,동물병원,104,104,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M11201,인테리어 디자인업,699,699,관측체계 내 확정집계,True,추가,추가,소분류확정
2024-03-01,M11202,제품 디자인업,79,79,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,M11203,시각 디자인업,296,296,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,N10501,여행사,290,290,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,N10599,기타 여행 보조/예약 서비스업,25,25,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,N10999,기타 운송장비 대여업,18,18,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,N11101,건설기계/장비 대여업,56,56,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,P10607,청소년 수련시설,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,P10701,교육컨설팅업,115,115,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10101,종합병원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10102,일반병원,23,23,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10103,치과병원,6,6,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10104,한방병원,15,15,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10105,요양병원,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10201,내과/소아과 의원,66,66,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10202,외과 의원,21,21,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10203,신경/정신과 의원,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10204,피부/비뇨기과 의원,118,118,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10205,안과 의원,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10206,이비인후과 의원,9,9,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10207,산부인과 의원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10208,성형외과 의원,41,41,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10209,기타 의원,39,39,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10210,치과의원,155,155,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10211,한의원,80,80,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10212,방사선 진단/병리 검사 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,Q10402,유사 의료업,76,76,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-03-01,S20902,셀프 빨래방,192,192,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,G20602,주류 소매업,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,I20202,마라탕/훠궈,122,122,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10502,옥외/전시 광고 대행업,49,49,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10503,광고 매체 판매업,21,21,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10601,시장 조사 및 여론 조사업,42,42,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10901,건축 설계 및 관련 서비스업,499,499,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10902,도시 계획 및 조경 설계 서비스업,39,39,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10903,건물 및 토목 엔지니어링 서비스업,148,148,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10904,환경 관련 엔지니어링 서비스업,66,66,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M10999,기타 엔지니어링 서비스업,277,277,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M11101,동물병원,103,103,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M11201,인테리어 디자인업,685,685,관측체계 내 확정집계,True,추가,추가,소분류확정
2024-06-01,M11202,제품 디자인업,81,81,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,M11203,시각 디자인업,292,292,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,N10501,여행사,291,291,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,N10599,기타 여행 보조/예약 서비스업,24,24,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,N10999,기타 운송장비 대여업,18,18,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,N11101,건설기계/장비 대여업,55,55,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,P10607,청소년 수련시설,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,P10701,교육컨설팅업,115,115,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10101,종합병원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10102,일반병원,23,23,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10103,치과병원,6,6,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10104,한방병원,14,14,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10105,요양병원,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10201,내과/소아과 의원,65,65,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10202,외과 의원,20,20,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10203,신경/정신과 의원,11,11,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10204,피부/비뇨기과 의원,120,120,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10205,안과 의원,17,17,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10206,이비인후과 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10207,산부인과 의원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10208,성형외과 의원,41,41,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10209,기타 의원,39,39,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10210,치과의원,156,156,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10211,한의원,78,78,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10212,방사선 진단/병리 검사 의원,10,10,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,Q10402,유사 의료업,73,73,관측체계 내 확정집계,False,추가,추가,소분류확정
2024-06-01,S20902,셀프 빨래방,187,187,관측체계 내 확정집계,False,추가,추가,소분류확정
