period,level,added_pairs,removed_pairs
2024-06-01,시도,0,0
2024-06-01,시군구,0,0
2024-06-01,행정동,0,0
2024-06-01,법정동,0,0
2024-09-01,시도,0,0
2024-09-01,시군구,0,0
2024-09-01,행정동,0,0
2024-09-01,법정동,0,0
2024-12-01,시도,0,0
2024-12-01,시군구,0,0
2024-12-01,행정동,0,0
2024-12-01,법정동,0,0
2025-03-01,시도,0,0
2025-03-01,시군구,0,0
2025-03-01,행정동,0,0
2025-03-01,법정동,0,0
2025-06-01,시도,0,0
2025-06-01,시군구,0,0
2025-06-01,행정동,0,0
2025-06-01,법정동,0,0
2025-10-01,시도,0,0
2025-10-01,시군구,0,0
2025-10-01,행정동,0,0
2025-10-01,법정동,0,0
2025-12-01,시도,0,0
2025-12-01,시군구,0,0
2025-12-01,행정동,0,0
2025-12-01,법정동,0,0
2026-03-01,시도,0,0
2026-03-01,시군구,0,0
2026-03-01,행정동,0,0
2026-03-01,법정동,0,0
2026-06-01,시도,0,0
2026-06-01,시군구,0,0
2026-06-01,행정동,0,0
2026-06-01,법정동,0,0
