previous_period,period,category_code,category,before_count,after_count,change,appeared,disappeared,id_net_change,common_reclassified_in,common_reclassified_out,reclassification_net
2024-03-01,2024-06-01,G2,소매업,19049,18716,-333,241,574,-333,0,0,0
2024-03-01,2024-06-01,I1,숙박업,658,656,-2,11,13,-2,0,0,0
2024-03-01,2024-06-01,I2,음식점업,23464,22873,-591,598,1189,-591,0,0,0
2024-03-01,2024-06-01,L1,부동산업,2533,2487,-46,27,73,-46,0,0,0
2024-03-01,2024-06-01,M1,"전문, 과학 및 기술 서비스업",6418,6373,-45,70,115,-45,0,0,0
2024-03-01,2024-06-01,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",2763,2768,5,60,55,5,0,0,0
2024-03-01,2024-06-01,P1,교육 서비스업,3200,3154,-46,35,81,-46,0,0,0
2024-03-01,2024-06-01,Q1,보건의료업,756,752,-4,8,12,-4,0,0,0
2024-03-01,2024-06-01,R1,"예술, 스포츠 및 여가관련 서비스업",3495,3388,-107,72,179,-107,0,0,0
2024-03-01,2024-06-01,S2,수리 및 개인 서비스업,9731,9665,-66,152,218,-66,0,0,0
2024-06-01,2024-09-01,G2,소매업,18716,18179,-537,17,554,-537,0,0,0
2024-06-01,2024-09-01,I1,숙박업,656,647,-9,1,10,-9,0,0,0
2024-06-01,2024-09-01,I2,음식점업,22873,21946,-927,47,974,-927,0,0,0
2024-06-01,2024-09-01,L1,부동산업,2487,2435,-52,1,53,-52,0,0,0
2024-06-01,2024-09-01,M1,"전문, 과학 및 기술 서비스업",6373,6285,-88,5,93,-88,0,0,0
2024-06-01,2024-09-01,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",2768,2730,-38,2,40,-38,0,0,0
2024-06-01,2024-09-01,P1,교육 서비스업,3154,3104,-50,1,51,-50,0,0,0
2024-06-01,2024-09-01,Q1,보건의료업,752,744,-8,3,11,-8,0,0,0
2024-06-01,2024-09-01,R1,"예술, 스포츠 및 여가관련 서비스업",3388,3293,-95,7,102,-95,0,0,0
2024-06-01,2024-09-01,S2,수리 및 개인 서비스업,9665,9504,-161,17,178,-161,0,0,0
2024-09-01,2024-12-01,G2,소매업,18179,20857,2678,4777,1896,2881,133,336,-203
2024-09-01,2024-12-01,I1,숙박업,647,721,74,98,29,69,6,1,5
2024-09-01,2024-12-01,I2,음식점업,21946,24838,2892,4012,1105,2907,73,88,-15
2024-09-01,2024-12-01,L1,부동산업,2435,2557,122,256,132,124,6,8,-2
2024-09-01,2024-12-01,M1,"전문, 과학 및 기술 서비스업",6285,6878,593,1038,433,605,49,61,-12
2024-09-01,2024-12-01,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",2730,3208,478,741,282,459,57,38,19
2024-09-01,2024-12-01,P1,교육 서비스업,3104,5209,2105,2911,849,2062,120,77,43
2024-09-01,2024-12-01,Q1,보건의료업,744,1930,1186,1322,139,1183,8,5,3
