category,dong_code,district,dong,category_store_count,population,low_population_flag,category_density_per_1000,lq
교육 서비스업,30170590,서구,가수원동,28,9875,False,2.84,0.899
교육 서비스업,30110620,동구,가양1동,24,12670,False,1.89,0.552
교육 서비스업,30110630,동구,가양2동,57,17985,False,3.17,0.9
교육 서비스업,30170570,서구,가장동,26,10313,False,2.52,0.999
교육 서비스업,30170581,서구,갈마1동,64,20553,False,3.11,0.781
교육 서비스업,30170582,서구,갈마2동,89,22980,False,3.87,1.006
교육 서비스업,30170596,서구,관저1동,41,14339,False,2.86,1.061
교육 서비스업,30170597,서구,관저2동,244,47072,False,5.18,1.836
교육 서비스업,30200600,유성구,관평동,158,37715,False,4.19,1.21
교육 서비스업,30170560,서구,괴정동,82,18068,False,4.54,0.595
교육 서비스업,30200580,유성구,구즉동,55,32567,False,1.69,0.916
교육 서비스업,30170600,서구,기성동,6,3221,False,1.86,0.428
교육 서비스업,30170575,서구,내동,86,21507,False,4.0,1.854
교육 서비스업,30200546,유성구,노은1동,125,20549,False,6.08,1.416
교육 서비스업,30200547,유성구,노은2동,80,23001,False,3.48,1.574
교육 서비스업,30200548,유성구,노은3동,159,35391,False,4.49,1.973
교육 서비스업,30110585,동구,대동,42,13251,False,3.17,1.011
교육 서비스업,30140630,중구,대사동,23,5166,False,4.45,0.714
교육 서비스업,30110725,동구,대청동,5,2086,False,2.4,0.563
교육 서비스업,30230520,대덕구,대화동,8,5213,False,1.53,0.221
교육 서비스업,30140575,중구,대흥동,94,12082,False,7.78,0.75
교육 서비스업,30230570,대덕구,덕암동,16,12275,False,1.3,0.387
교육 서비스업,30170520,서구,도마1동,51,17913,False,2.85,0.582
교육 서비스업,30170530,서구,도마2동,37,19192,False,1.93,0.688
교육 서비스업,30170593,서구,도안동,286,36402,False,7.86,1.919
교육 서비스업,30170630,서구,둔산1동,365,16243,False,22.47,2.484
교육 서비스업,30170640,서구,둔산2동,214,34031,False,6.29,1.038
교육 서비스업,30170660,서구,둔산3동,87,18559,False,4.69,1.7
교육 서비스업,30170650,서구,만년동,74,11901,False,6.22,1.26
교육 서비스업,30140550,중구,목동,109,17347,False,6.28,3.214
교육 서비스업,30230580,대덕구,목상동,4,5779,False,0.69,0.152
교육 서비스업,30140605,중구,문창동,10,4057,False,2.46,0.269
교육 서비스업,30140720,중구,문화1동,73,20041,False,3.64,1.543
교육 서비스업,30140730,중구,문화2동,28,10964,False,2.55,0.99
교육 서비스업,30230600,대덕구,법1동,12,12040,False,1.0,0.995
교육 서비스업,30230610,대덕구,법2동,16,14312,False,1.12,0.747
교육 서비스업,30170540,서구,변동,22,12149,False,1.81,0.476
교육 서비스업,30170510,서구,복수동,92,20740,False,4.44,2.055
교육 서비스업,30140640,중구,부사동,15,5822,False,2.58,0.432
교육 서비스업,30230533,대덕구,비래동,17,14290,False,1.19,0.408
교육 서비스업,30110740,동구,산내동,41,20873,False,1.96,0.925
교육 서비스업,30140740,중구,산성동,35,24206,False,1.45,0.388
교육 서비스업,30110695,동구,삼성동,30,12893,False,2.33,0.588
교육 서비스업,30200527,유성구,상대동,80,24937,False,3.21,1.781
교육 서비스업,30140620,중구,석교동,18,13460,False,1.34,0.478
교육 서비스업,30230560,대덕구,석봉동,37,15634,False,2.37,0.894
교육 서비스업,30110665,동구,성남동,32,10323,False,3.1,0.856
교육 서비스업,30230543,대덕구,송촌동,86,26730,False,3.22,1.079
교육 서비스업,30200550,유성구,신성동,76,25502,False,2.98,0.673
교육 서비스업,30110545,동구,신인동,28,14690,False,1.91,0.993
교육 서비스업,30230550,대덕구,신탄진동,26,15890,False,1.64,0.442
교육 서비스업,30140670,중구,오류동,40,9742,False,4.11,0.638
교육 서비스업,30230510,대덕구,오정동,47,13051,False,3.6,0.595
교육 서비스업,30200530,유성구,온천1동,103,26687,False,3.86,0.444
교육 서비스업,30200540,유성구,온천2동,159,40717,False,3.91,0.799
교육 서비스업,30140655,중구,용두동,45,9762,False,4.61,1.193
교육 서비스업,30170550,서구,용문동,52,19171,False,2.71,0.989
교육 서비스업,30110560,동구,용운동,61,20730,False,2.94,0.99
교육 서비스업,30110640,동구,용전동,44,19567,False,2.25,0.466
교육 서비스업,30200610,유성구,원신흥동,132,32273,False,4.09,1.755
교육 서비스업,30170586,서구,월평1동,54,10988,False,4.91,0.606
교육 서비스업,30170587,서구,월평2동,130,13142,False,9.89,2.06
교육 서비스업,30170588,서구,월평3동,33,19633,False,1.68,2.77
교육 서비스업,30140700,중구,유천1동,60,5726,False,10.48,1.246
교육 서비스업,30140710,중구,유천2동,45,12392,False,3.63,0.908
교육 서비스업,30140535,중구,은행선화동,127,24072,False,5.28,0.896
교육 서비스업,30110590,동구,자양동,26,10738,False,2.42,0.537
교육 서비스업,30200570,유성구,전민동,77,25289,False,3.04,0.889
교육 서비스업,30170535,서구,정림동,42,14475,False,2.9,1.025
교육 서비스업,30230546,대덕구,중리동,40,17541,False,2.28,0.348
교육 서비스업,30110515,동구,중앙동,27,3284,False,8.22,0.199
교육 서비스업,30140560,중구,중촌동,37,14932,False,2.48,0.809
교육 서비스업,30200520,유성구,진잠동,61,24825,False,2.46,0.706
교육 서비스업,30170555,서구,탄방동,242,31149,False,7.77,1.236
교육 서비스업,30140680,중구,태평1동,51,12004,False,4.25,1.241
교육 서비스업,30140690,중구,태평2동,33,23217,False,1.42,1.081
교육 서비스업,30110551,동구,판암1동,26,11601,False,2.24,0.934
교육 서비스업,30110552,동구,판암2동,2,7601,False,0.26,0.177
교육 서비스업,30200526,유성구,학하동,53,20609,False,2.57,0.731
교육 서비스업,30110670,동구,홍도동,19,10759,False,1.77,0.528
교육 서비스업,30230525,대덕구,회덕동,10,12035,False,0.83,0.298
교육 서비스업,30110530,동구,효동,151,29268,False,5.16,1.817
보건의료업,30170590,서구,가수원동,7,9875,False,0.71,0.633
보건의료업,30110620,동구,가양1동,7,12670,False,0.55,0.453
보건의료업,30110630,동구,가양2동,31,17985,False,1.72,1.38
보건의료업,30170570,서구,가장동,8,10313,False,0.78,0.866
보건의료업,30170581,서구,갈마1동,21,20553,False,1.02,0.722
보건의료업,30170582,서구,갈마2동,19,22980,False,0.83,0.605
보건의료업,30170596,서구,관저1동,25,14339,False,1.74,1.823
보건의료업,30170597,서구,관저2동,70,47072,False,1.49,1.484
보건의료업,30200600,유성구,관평동,29,37715,False,0.77,0.626
보건의료업,30170560,서구,괴정동,39,18068,False,2.16,0.797
보건의료업,30200580,유성구,구즉동,6,32567,False,0.18,0.281
보건의료업,30170600,서구,기성동,4,3221,False,1.24,0.803
보건의료업,30170575,서구,내동,18,21507,False,0.84,1.093
보건의료업,30200546,유성구,노은1동,10,20549,False,0.49,0.319
보건의료업,30200547,유성구,노은2동,13,23001,False,0.57,0.721
보건의료업,30200548,유성구,노은3동,21,35391,False,0.59,0.734
보건의료업,30110585,동구,대동,37,13251,False,2.79,2.51
보건의료업,30140630,중구,대사동,13,5166,False,2.52,1.137
보건의료업,30110725,동구,대청동,1,2086,False,0.48,0.317
보건의료업,30230520,대덕구,대화동,0,5213,False,0.0,0.0
보건의료업,30140575,중구,대흥동,30,12082,False,2.48,0.675
보건의료업,30230570,대덕구,덕암동,1,12275,False,0.08,0.068
보건의료업,30170520,서구,도마1동,30,17913,False,1.67,0.965
보건의료업,30170530,서구,도마2동,45,19192,False,2.34,2.357
보건의료업,30170593,서구,도안동,42,36402,False,1.15,0.794
보건의료업,30170630,서구,둔산1동,109,16243,False,6.71,2.09
보건의료업,30170640,서구,둔산2동,237,34031,False,6.96,3.238
보건의료업,30170660,서구,둔산3동,14,18559,False,0.75,0.771
보건의료업,30170650,서구,만년동,15,11901,False,1.26,0.72
보건의료업,30140550,중구,목동,11,17347,False,0.63,0.914
보건의료업,30230580,대덕구,목상동,2,5779,False,0.35,0.214
보건의료업,30140605,중구,문창동,6,4057,False,1.48,0.454
보건의료업,30140720,중구,문화1동,31,20041,False,1.55,1.846
보건의료업,30140730,중구,문화2동,13,10964,False,1.19,1.296
보건의료업,30230600,대덕구,법1동,12,12040,False,1.0,2.804
보건의료업,30230610,대덕구,법2동,1,14312,False,0.07,0.131
보건의료업,30170540,서구,변동,11,12149,False,0.91,0.67
보건의료업,30170510,서구,복수동,10,20740,False,0.48,0.629
보건의료업,30140640,중구,부사동,17,5822,False,2.92,1.381
보건의료업,30230533,대덕구,비래동,5,14290,False,0.35,0.338
보건의료업,30110740,동구,산내동,17,20873,False,0.81,1.08
보건의료업,30140740,중구,산성동,26,24206,False,1.07,0.813
보건의료업,30110695,동구,삼성동,12,12893,False,0.93,0.662
보건의료업,30200527,유성구,상대동,12,24937,False,0.48,0.753
보건의료업,30140620,중구,석교동,14,13460,False,1.04,1.048
보건의료업,30230560,대덕구,석봉동,8,15634,False,0.51,0.545
보건의료업,30110665,동구,성남동,29,10323,False,2.81,2.187
보건의료업,30230543,대덕구,송촌동,6,26730,False,0.22,0.212
보건의료업,30200550,유성구,신성동,9,25502,False,0.35,0.225
보건의료업,30110545,동구,신인동,9,14690,False,0.61,0.899
보건의료업,30230550,대덕구,신탄진동,11,15890,False,0.69,0.527
보건의료업,30140670,중구,오류동,47,9742,False,4.82,2.113
보건의료업,30230510,대덕구,오정동,3,13051,False,0.23,0.107
보건의료업,30200530,유성구,온천1동,55,26687,False,2.06,0.668
보건의료업,30200540,유성구,온천2동,10,40717,False,0.25,0.142
보건의료업,30140655,중구,용두동,15,9762,False,1.54,1.12
보건의료업,30170550,서구,용문동,21,19171,False,1.1,1.125
보건의료업,30110560,동구,용운동,27,20730,False,1.3,1.235
보건의료업,30110640,동구,용전동,33,19567,False,1.69,0.984
보건의료업,30200610,유성구,원신흥동,30,32273,False,0.93,1.124
보건의료업,30170586,서구,월평1동,18,10988,False,1.64,0.569
보건의료업,30170587,서구,월평2동,44,13142,False,3.35,1.965
보건의료업,30170588,서구,월평3동,4,19633,False,0.2,0.946
보건의료업,30140700,중구,유천1동,16,5726,False,2.79,0.936
보건의료업,30140710,중구,유천2동,27,12392,False,2.18,1.535
보건의료업,30140535,중구,은행선화동,50,24072,False,2.08,0.994
보건의료업,30110590,동구,자양동,6,10738,False,0.56,0.349
보건의료업,30200570,유성구,전민동,11,25289,False,0.43,0.358
보건의료업,30170535,서구,정림동,21,14475,False,1.45,1.444
보건의료업,30230546,대덕구,중리동,11,17541,False,0.63,0.27
보건의료업,30110515,동구,중앙동,53,3284,False,16.14,1.102
보건의료업,30140560,중구,중촌동,13,14932,False,0.87,0.8
보건의료업,30200520,유성구,진잠동,9,24825,False,0.36,0.293
보건의료업,30170555,서구,탄방동,128,31149,False,4.11,1.841
보건의료업,30140680,중구,태평1동,22,12004,False,1.83,1.508
보건의료업,30140690,중구,태평2동,10,23217,False,0.43,0.923
보건의료업,30110551,동구,판암1동,30,11601,False,2.59,3.035
보건의료업,30110552,동구,판암2동,5,7601,False,0.66,1.249
보건의료업,30200526,유성구,학하동,8,20609,False,0.39,0.311
보건의료업,30110670,동구,홍도동,10,10759,False,0.93,0.784
보건의료업,30230525,대덕구,회덕동,2,12035,False,0.17,0.168
보건의료업,30110530,동구,효동,54,29268,False,1.85,1.83
부동산업,30170590,서구,가수원동,19,9875,False,1.92,1.208
부동산업,30110620,동구,가양1동,26,12670,False,2.05,1.184
