period,category,store_count,qoq_pct,yoy_pct
2024-03-01,과학·기술,6418,,
2024-03-01,교육,3200,,
2024-03-01,보건의료,756,,
2024-03-01,부동산,2533,,
2024-03-01,소매,19049,,
2024-03-01,수리·개인,9731,,
2024-03-01,숙박,658,,
2024-03-01,시설관리·임대,2763,,
2024-03-01,예술·스포츠,3495,,
2024-03-01,음식,23464,,
2024-06-01,과학·기술,6373,-0.70115301,
2024-06-01,교육,3154,-1.43750000,
2024-06-01,보건의료,752,-0.52910053,
2024-06-01,부동산,2487,-1.81602842,
2024-06-01,소매,18716,-1.74812326,
2024-06-01,수리·개인,9665,-0.67824478,
2024-06-01,숙박,656,-0.30395137,
2024-06-01,시설관리·임대,2768,0.18096272,
2024-06-01,예술·스포츠,3388,-3.06151645,
2024-06-01,음식,22873,-2.51875213,
2024-09-01,과학·기술,6285,-1.38082536,
2024-09-01,교육,3104,-1.58528852,
2024-09-01,보건의료,744,-1.06382979,
2024-09-01,부동산,2435,-2.09087254,
2024-09-01,소매,18179,-2.86920282,
2024-09-01,수리·개인,9504,-1.66580445,
2024-09-01,숙박,647,-1.37195122,
2024-09-01,시설관리·임대,2730,-1.37283237,
2024-09-01,예술·스포츠,3293,-2.80401417,
2024-09-01,음식,21946,-4.05281336,
2024-12-01,과학·기술,6878,9.43516309,
2024-12-01,교육,5209,67.81572165,
2024-12-01,보건의료,1930,159.40860215,
2024-12-01,부동산,2557,5.01026694,
2024-12-01,소매,20857,14.73128335,
2024-12-01,수리·개인,10690,12.47895623,
2024-12-01,숙박,721,11.43740340,
2024-12-01,시설관리·임대,3208,17.50915751,
2024-12-01,예술·스포츠,3701,12.38991801,
2024-12-01,음식,24838,13.17780005,
2025-03-01,과학·기술,6839,-0.56702530,6.55967591
2025-03-01,교육,5274,1.24784028,64.81250000
2025-03-01,보건의료,1937,0.36269430,156.21693122
2025-03-01,부동산,2547,-0.39108330,0.55270430
2025-03-01,소매,19853,-4.81373160,4.22069400
2025-03-01,수리·개인,10264,-3.98503274,5.47734046
2025-03-01,숙박,723,0.27739251,9.87841945
2025-03-01,시설관리·임대,3203,-0.15586035,15.92471951
2025-03-01,예술·스포츠,3603,-2.64793299,3.09012876
2025-03-01,음식,23661,-4.73870682,0.83958404
2025-06-01,과학·기술,6931,1.34522591,8.75568806
2025-06-01,교육,5280,0.11376564,67.40646798
2025-06-01,보건의료,1936,-0.05162623,157.44680851
2025-06-01,부동산,2528,-0.74597566,1.64857258
2025-06-01,소매,19707,-0.73540523,5.29493482
2025-06-01,수리·개인,10329,0.63328137,6.87015003
2025-06-01,숙박,735,1.65975104,12.04268293
2025-06-01,시설관리·임대,3272,2.15423041,18.20809249
2025-06-01,예술·스포츠,3576,-0.74937552,5.54899646
2025-06-01,음식,23311,-1.47922742,1.91492152
2025-10-01,과학·기술,6943,,
2025-10-01,교육,5584,,
2025-10-01,보건의료,1955,,
2025-10-01,부동산,2950,,
2025-10-01,소매,20056,,
2025-10-01,수리·개인,10576,,
2025-10-01,숙박,728,,
2025-10-01,시설관리·임대,3247,,
2025-10-01,예술·스포츠,3540,,
2025-10-01,음식,22839,,
2025-12-01,과학·기술,6896,,0.26170398
2025-12-01,교육,5551,,6.56555961
2025-12-01,보건의료,1958,,1.45077720
2025-12-01,부동산,2867,,12.12358232
2025-12-01,소매,20099,,-3.63427147
2025-12-01,수리·개인,10617,,-0.68288120
2025-12-01,숙박,718,,-0.41608877
2025-12-01,시설관리·임대,3186,,-0.68578554
2025-12-01,예술·스포츠,3551,,-4.05295866
2025-12-01,음식,22803,,-8.19309123
2026-03-01,과학·기술,6842,-0.78306265,0.04386606
2026-03-01,교육,5542,-0.16213295,5.08153204
2026-03-01,보건의료,1967,0.45965271,1.54878678
2026-03-01,부동산,2797,-2.44157656,9.81546918
2026-03-01,소매,20184,0.42290661,1.66725432
2026-03-01,수리·개인,10691,0.69699538,4.16017147
2026-03-01,숙박,719,0.13927577,-0.55325035
2026-03-01,시설관리·임대,3119,-2.10295041,-2.62254137
2026-03-01,예술·스포츠,3591,1.12644326,-0.33305579
2026-03-01,음식,23155,1.54365654,-2.13854021
2026-06-01,과학·기술,7405,8.22858813,6.83883999
2026-06-01,교육,5399,-2.58029592,2.25378788
2026-06-01,보건의료,1944,-1.16929334,0.41322314
2026-06-01,부동산,2803,0.21451555,10.87816456
2026-06-01,소매,20214,0.14863258,2.57268991
2026-06-01,수리·개인,10989,2.78739126,6.38977636
2026-06-01,숙박,904,25.73018081,22.99319728
2026-06-01,시설관리·임대,3507,12.43988458,7.18215159
2026-06-01,예술·스포츠,3689,2.72904483,3.15995526
2026-06-01,음식,23850,3.00151155,2.31221312
