period,level,code,name
2024-03-01,대,G2,소매
2024-03-01,대,I1,숙박
2024-03-01,대,I2,음식
2024-03-01,대,L1,부동산
2024-03-01,대,M1,과학·기술
2024-03-01,대,N1,시설관리·임대
2024-03-01,대,P1,교육
2024-03-01,대,Q1,보건의료
2024-03-01,대,R1,예술·스포츠
2024-03-01,대,S2,수리·개인
2024-03-01,소,G20201,타이어 소매업
2024-03-01,소,G20202,자동차 부품 소매업
2024-03-01,소,G20301,모터사이클 및 부품 소매업
2024-03-01,소,G20404,슈퍼마켓
2024-03-01,소,G20405,편의점
2024-03-01,소,G20499,그 외 기타 종합 소매업
2024-03-01,소,G20501,곡물/곡분 소매업
2024-03-01,소,G20502,가축 사료 소매업
2024-03-01,소,G20503,정육점
2024-03-01,소,G20504,건어물/젓갈 소매업
2024-03-01,소,G20505,수산물 소매업
2024-03-01,소,G20506,채소/과일 소매업
2024-03-01,소,G20507,아이스크림 할인점
2024-03-01,소,G20508,건강보조식품 소매업
2024-03-01,소,G20509,반찬/식료품 소매업
2024-03-01,소,G20601,얼음 소매업
2024-03-01,소,G20602,주류 소매업
2024-03-01,소,G20603,생수/음료 소매업
2024-03-01,소,G20604,우유 소매업
2024-03-01,소,G20701,담배/전자담배 소매업
2024-03-01,소,G20801,컴퓨터/소프트웨어 소매업
2024-03-01,소,G20802,핸드폰 소매업
2024-03-01,소,G20803,가전제품 소매업
2024-03-01,소,G20901,남성 의류 소매업
2024-03-01,소,G20902,여성 의류 소매업
2024-03-01,소,G20903,유아용 의류 소매업
2024-03-01,소,G20904,한복 소매업
2024-03-01,소,G20905,기타 의류 소매업
2024-03-01,소,G20906,침구류/커튼 소매업
2024-03-01,소,G20907,액세서리/잡화 소매업
2024-03-01,소,G20908,가발 소매업
2024-03-01,소,G20909,실/섬유제품 소매업
2024-03-01,소,G20910,신발 소매업
2024-03-01,소,G20911,가방 소매업
2024-03-01,소,G21001,철물/공구 소매업
2024-03-01,소,G21002,벽지/장판/마루 소매업
2024-03-01,소,G21003,건설/건축자재 소매업
2024-03-01,소,G21099,기타 건설/건축자재 소매업
2024-03-01,소,G21101,가구 소매업
2024-03-01,소,G21201,전기용품/조명장치 소매업
2024-03-01,소,G21202,주방/가정용품 소매업
2024-03-01,소,G21203,악기 소매업
2024-03-01,소,G21301,서점
2024-03-01,소,G21302,문구/회화용품 소매업
2024-03-01,소,G21303,음반/비디오물 소매업
2024-03-01,소,G21304,운동용품 소매업
2024-03-01,소,G21305,자전거 소매업
2024-03-01,소,G21306,장난감 소매업
2024-03-01,소,G21401,주유소
2024-03-01,소,G21402,가스 충전소
2024-03-01,소,G21403,가정용 연료 소매업
2024-03-01,소,G21501,약국
2024-03-01,소,G21502,의료기기 소매업
2024-03-01,소,G21503,화장품 소매업
2024-03-01,소,G21601,사무기기 소매업
2024-03-01,소,G21602,안경렌즈 소매업
2024-03-01,소,G21603,사진기/기타 광학기기 소매업
2024-03-01,소,G21701,시계/귀금속 소매업
2024-03-01,소,G21801,예술품 소매업
2024-03-01,소,G21802,기념품점
2024-03-01,소,G21901,꽃집
2024-03-01,소,G22001,애완동물/애완용품 소매업
2024-03-01,소,G22199,그 외 기타 상품 전문 소매업
2024-03-01,소,G22201,중고 상품 소매업
