candidate_small_codes,candidate_count,candidate_major_codes,normalized_major_code,normalized_major_name,candidate_middle_codes,normalized_middle_code,normalized_middle_name,normalized_small_code,normalized_small_name,mapping_level,mapping_confidence,source_system,mapping_type,mapping_basis,crosswalk_types,is_added_category,source_small_code
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D01A01
G20509,1,G2,G2,소매업,G205,G205,식료품 소매업,G20509,반찬/식료품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A02
G20503,1,G2,G2,소매업,G205,G205,식료품 소매업,G20503,정육점,small,소분류확정,837,통합,837→247 연계,통합,False,D01A03
G20503,1,G2,G2,소매업,G205,G205,식료품 소매업,G20503,정육점,small,소분류확정,837,통합,837→247 연계,통합,False,D01A04
G20503,1,G2,G2,소매업,G205,G205,식료품 소매업,G20503,정육점,small,소분류확정,837,통합,837→247 연계,통합,False,D01A05
G20503,1,G2,G2,소매업,G205,G205,식료품 소매업,G20503,정육점,small,소분류확정,837,통합,837→247 연계,통합,False,D01A06
G20509,1,G2,G2,소매업,G205,G205,식료품 소매업,G20509,반찬/식료품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A07
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A08
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D01A09
G20505,1,G2,G2,소매업,G205,G205,식료품 소매업,G20505,수산물 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A10
G20504,1,G2,G2,소매업,G205,G205,식료품 소매업,G20504,건어물/젓갈 소매업,small,소분류확정,837,유지,837→247 연계,유지,False,D01A11
G20505,1,G2,G2,소매업,G205,G205,식료품 소매업,G20505,수산물 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A12
G20506,1,G2,G2,소매업,G205,G205,식료품 소매업,G20506,채소/과일 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A13
G20501,1,G2,G2,소매업,G205,G205,식료품 소매업,G20501,곡물/곡분 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A14
G20501,1,G2,G2,소매업,G205,G205,식료품 소매업,G20501,곡물/곡분 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A15
G20506,1,G2,G2,소매업,G205,G205,식료품 소매업,G20506,채소/과일 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A18
G20603,1,G2,G2,소매업,G206,G206,음료 소매업,G20603,생수/음료 소매업,small,소분류확정,837,유지,837→247 연계,유지,False,D01A19
G20601,1,G2,G2,소매업,G206,G206,음료 소매업,G20601,얼음 소매업,small,소분류확정,837,유지,837→247 연계,유지,False,D01A20
G20604,1,G2,G2,소매업,G206,G206,음료 소매업,G20604,우유 소매업,small,소분류확정,837,유지,837→247 연계,유지,False,D01A21
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D01A22
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D01A23
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D01A24
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D01A25
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A26
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D01A27
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A01
G21901,1,G2,G2,소매업,G219,G219,화초 및 식물 소매업,G21901,꽃집,small,소분류확정,837,유지,837→247 연계,유지,False,D02A02
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A03
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A04
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A05
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A06
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A07
G21802,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21802,기념품점,small,소분류확정,837,통합,837→247 연계,통합,False,D02A08
G20405,1,G2,G2,소매업,G204,G204,종합 소매업,G20405,편의점,small,소분류확정,837,유지,837→247 연계,유지,False,D03A01
G20404,1,G2,G2,소매업,G204,G204,종합 소매업,G20404,슈퍼마켓,small,소분류확정,837,통합,837→247 연계,통합,False,D03A02
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03A03
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03A04
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03A05
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03A06
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03A07
,0,,,,,,,,,none,제외확정,837,제외,837→247 연계,제외,False,D03B01
,0,,,,,,,,,none,제외확정,837,제외,837→247 연계,제외,False,D03B02
,0,,,,,,,,,none,제외확정,837,제외,837→247 연계,제외,False,D03B03
,0,,,,,,,,,none,제외확정,837,제외,837→247 연계,제외,False,D03B04
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03B05
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03B06
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03B09
G20499,1,G2,G2,소매업,G204,G204,종합 소매업,G20499,그 외 기타 종합 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D03B10
G21306,1,G2,G2,소매업,G213,G213,"문화, 오락 및 여가 용품 소매업",G21306,장난감 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A01
G21306,1,G2,G2,소매업,G213,G213,"문화, 오락 및 여가 용품 소매업",G21306,장난감 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A02
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A03
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A04
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A05
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A06
G21801,1,G2,G2,소매업,G218,G218,"예술품, 기념품 및 장식용품 소매업",G21801,예술품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A07
G21203,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21203,악기 소매업,small,소분류확정,837,유지,837→247 연계,유지,False,D04A09
G21302,1,G2,G2,소매업,G213,G213,"문화, 오락 및 여가 용품 소매업",G21302,문구/회화용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A10
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A11
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A12
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A13
G21202,1,G2,G2,소매업,G212,G212,기타 생활용품 소매업,G21202,주방/가정용품 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D04A14
G20902,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20902,여성 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A01
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A02
G20902,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20902,여성 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A03
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A04
G20903,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20903,유아용 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A05
G20902,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20902,여성 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A06
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A07
G20901,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20901,남성 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A08
G20901,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20901,남성 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A09
G20904,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20904,한복 소매업,small,소분류확정,837,유지,837→247 연계,유지,False,D05A10
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A11
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A12
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A13
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A14
G20905,1,G2,G2,소매업,G209,G209,"섬유, 의복, 신발 및 가죽제품 소매업",G20905,기타 의류 소매업,small,소분류확정,837,통합,837→247 연계,통합,False,D05A15
