previous_period,period,old_category_code,new_category_code,store_count
2024-09-01,2024-12-01,G2,S2,169
2024-09-01,2024-12-01,G2,I2,50
2024-09-01,2024-12-01,R1,P1,47
2024-09-01,2024-12-01,S2,G2,45
2024-09-01,2024-12-01,I2,G2,43
2024-09-01,2024-12-01,G2,P1,39
2024-09-01,2024-12-01,G2,R1,35
2024-09-01,2024-12-01,P1,R1,35
2024-09-01,2024-12-01,G2,M1,21
2024-09-01,2024-12-01,G2,N1,20
2024-09-01,2024-12-01,P1,G2,19
2024-09-01,2024-12-01,I2,R1,18
2024-09-01,2024-12-01,M1,P1,15
2024-09-01,2024-12-01,M1,N1,15
2024-09-01,2024-12-01,N1,S2,12
2024-09-01,2024-12-01,I2,P1,11
2024-09-01,2024-12-01,N1,M1,11
2024-09-01,2024-12-01,M1,G2,11
2024-09-01,2024-12-01,S2,N1,10
2024-09-01,2024-12-01,P1,M1,9
2024-09-01,2024-12-01,M1,I2,8
2024-09-01,2024-12-01,N1,G2,8
2024-09-01,2024-12-01,S2,R1,7
2024-09-01,2024-12-01,I2,S2,6
2024-09-01,2024-12-01,S2,P1,5
2024-09-01,2024-12-01,P1,I2,5
2024-09-01,2024-12-01,R1,I2,5
2024-09-01,2024-12-01,I2,N1,5
2024-09-01,2024-12-01,R1,I1,5
2024-09-01,2024-12-01,M1,L1,4
2024-09-01,2024-12-01,P1,S2,4
2024-09-01,2024-12-01,M1,S2,4
2024-09-01,2024-12-01,M1,R1,4
2024-09-01,2024-12-01,Q1,G2,3
2024-09-01,2024-12-01,L1,N1,3
2024-09-01,2024-12-01,P1,Q1,3
2024-09-01,2024-12-01,I2,M1,3
2024-09-01,2024-12-01,N1,P1,3
2024-09-01,2024-12-01,R1,S2,3
2024-09-01,2024-12-01,N1,I2,3
2024-09-01,2024-12-01,S2,I2,2
2024-09-01,2024-12-01,G2,Q1,2
2024-09-01,2024-12-01,S2,Q1,2
2024-09-01,2024-12-01,L1,G2,2
2024-09-01,2024-12-01,R1,N1,2
2024-09-01,2024-12-01,L1,M1,2
2024-09-01,2024-12-01,S2,M1,2
2024-09-01,2024-12-01,P1,N1,2
2024-09-01,2024-12-01,R1,G2,2
2024-09-01,2024-12-01,N1,R1,1
2024-09-01,2024-12-01,S2,L1,1
2024-09-01,2024-12-01,Q1,S2,1
2024-09-01,2024-12-01,Q1,R1,1
2024-09-01,2024-12-01,I2,I1,1
2024-09-01,2024-12-01,L1,S2,1
2024-09-01,2024-12-01,R1,Q1,1
2024-09-01,2024-12-01,I1,R1,1
2024-09-01,2024-12-01,R1,M1,1
2024-09-01,2024-12-01,I2,L1,1
2026-03-01,2026-06-01,G2,M1,2
2026-03-01,2026-06-01,P1,M1,2
2026-03-01,2026-06-01,R1,M1,2
2026-03-01,2026-06-01,I2,N1,1
2026-03-01,2026-06-01,G2,I2,1
2026-03-01,2026-06-01,N1,M1,1
2026-03-01,2026-06-01,N1,G2,1
2026-03-01,2026-06-01,I1,I2,1
2026-03-01,2026-06-01,R1,I2,1
2026-03-01,2026-06-01,L1,M1,1
2026-03-01,2026-06-01,P1,N1,1
2026-03-01,2026-06-01,G2,I1,1
2026-03-01,2026-06-01,M1,N1,1
2026-03-01,2026-06-01,I2,G2,1
2026-03-01,2026-06-01,G2,P1,1
2026-03-01,2026-06-01,I2,P1,1
2026-03-01,2026-06-01,I2,M1,1
