sheet_row,old_code,old_major_name,old_middle_name,old_small_name,new_code,new_major_name,new_middle_name,new_small_name,crosswalk_type
3,D23A04,소매,자동차/자동차용품,타이어판매,G20201,소매업,자동차 부품 및 내장품 소매업,타이어 소매업,유지
4,D23A03,소매,자동차/자동차용품,카오디오전문,G20202,소매업,자동차 부품 및 내장품 소매업,자동차 부품 소매업,통합
5,D23A05,소매,자동차/자동차용품,네비게이션판매,G20202,소매업,자동차 부품 및 내장품 소매업,자동차 부품 소매업,통합
6,D23A06,소매,자동차/자동차용품,자동차부품판매,G20202,소매업,자동차 부품 및 내장품 소매업,자동차 부품 소매업,통합
7,D23A07,소매,자동차/자동차용품,자동차장식품판매,G20202,소매업,자동차 부품 및 내장품 소매업,자동차 부품 소매업,통합
8,D23A08,소매,자동차/자동차용품,중고타이어판매,G20202,소매업,자동차 부품 및 내장품 소매업,자동차 부품 소매업,통합
9,D23A09,소매,자동차/자동차용품,수입자동차판매,,,,,제외
10,D23A10,소매,자동차/자동차용품,수입중고자동차판매,,,,,제외
11,D23A11,소매,자동차/자동차용품,자동차유리전문점,G20202,소매업,자동차 부품 및 내장품 소매업,자동차 부품 소매업,통합
12,F14A03,생활서비스,자동차/이륜차,오토바이판매/수리,G20301,소매업,모터사이클 및 부품 소매업,모터사이클 및 부품 소매업,분리
13,D01A01,소매,음/식료품소매,식료품점,G20404,소매업,종합 소매업,슈퍼마켓,통합
14,D01A09,소매,음/식료품소매,식자재판매,G20404,소매업,종합 소매업,슈퍼마켓,통합
15,D01A22,소매,음/식료품소매,식용유판매,G20404,소매업,종합 소매업,슈퍼마켓,통합
16,D01A23,소매,음/식료품소매,유과판매,G20404,소매업,종합 소매업,슈퍼마켓,통합
17,D01A24,소매,음/식료품소매,냉동식품판매,G20404,소매업,종합 소매업,슈퍼마켓,통합
18,D01A25,소매,음/식료품소매,두유판매,G20404,소매업,종합 소매업,슈퍼마켓,통합
19,D03A02,소매,종합소매점,수퍼마켓,G20404,소매업,종합 소매업,슈퍼마켓,통합
20,D03A01,소매,종합소매점,편의점,G20405,소매업,종합 소매업,편의점,유지
21,D01A08,소매,음/식료품소매,유기농식품판매,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
22,D01A26,소매,음/식료품소매,드라이아이스판매,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
23,D01A27,소매,음/식료품소매,제과재료판매,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
24,D03A03,소매,종합소매점,잡화점,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
25,D03A04,소매,종합소매점,생활용품판매,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
26,D03A05,소매,종합소매점,수입품판매점,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
27,D03A06,소매,종합소매점,종합소매,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
28,D03A07,소매,종합소매점,혼수전문점,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
29,D03B01,소매,종합소매점,백화점,,,,,제외
30,D03B02,소매,종합소매점,면세백화점,,,,,제외
31,D03B03,소매,종합소매점,아케이드/쇼핑센타,,,,,제외
32,D03B04,소매,종합소매점,시장/종합상가,,,,,제외
33,D03B05,소매,종합소매점,조합/연금매장,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
34,D03B06,소매,종합소매점,구판장/직판장,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
35,D03B09,소매,종합소매점,어판장,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
36,D03B10,소매,종합소매점,할인점,G20499,소매업,종합 소매업,그 외 기타 종합 소매업,통합
37,D01A14,소매,음/식료품소매,미곡상,G20501,소매업,식료품 소매업,곡물/곡분 소매업,통합
38,D01A15,소매,음/식료품소매,곡물소매,G20501,소매업,식료품 소매업,곡물/곡분 소매업,통합
39,D25A25,소매,기타판매업,사료소매,G20502,소매업,식료품 소매업,가축 사료 소매업,유지
40,D01A03,소매,음/식료품소매,정육점,G20503,소매업,식료품 소매업,정육점,통합
41,D01A04,소매,음/식료품소매,닭집,G20503,소매업,식료품 소매업,정육점,통합
42,D01A05,소매,음/식료품소매,머리고기전문,G20503,소매업,식료품 소매업,정육점,통합
43,D01A06,소매,음/식료품소매,육류소매,G20503,소매업,식료품 소매업,정육점,통합
44,D01A11,소매,음/식료품소매,건어물상,G20504,소매업,식료품 소매업,건어물/젓갈 소매업,유지
45,D01A10,소매,음/식료품소매,어물상,G20505,소매업,식료품 소매업,수산물 소매업,통합
46,D01A12,소매,음/식료품소매,수산물소매,G20505,소매업,식료품 소매업,수산물 소매업,통합
47,D01A13,소매,음/식료품소매,청과물소매,G20506,소매업,식료품 소매업,채소/과일 소매업,통합
48,D01A18,소매,음/식료품소매,건과류판매,G20506,소매업,식료품 소매업,채소/과일 소매업,통합
49,Q07A07,음식,패스트푸드,아이스크림판매,G20507,소매업,식료품 소매업,아이스크림 할인점,유지
50,D10A01,소매,건강/미용식품,다이어트상품판매,G20508,소매업,식료품 소매업,건강보조식품 소매업,통합
51,D10A02,소매,건강/미용식품,생식판매,G20508,소매업,식료품 소매업,건강보조식품 소매업,통합
52,D10A03,소매,건강/미용식품,선식판매,G20508,소매업,식료품 소매업,건강보조식품 소매업,통합
53,D10A04,소매,건강/미용식품,건강식품판매,G20508,소매업,식료품 소매업,건강보조식품 소매업,통합
