period,district,category,store_count,qoq_pct,yoy_pct,quarter,is_quarter_end_snapshot,is_main
2024-03-01,대덕구,과학·기술,576,,,2024Q1,True,False
2024-03-01,대덕구,교육,245,,,2024Q1,True,False
2024-03-01,대덕구,보건의료,46,,,2024Q1,True,False
2024-03-01,대덕구,부동산,201,,,2024Q1,True,False
2024-03-01,대덕구,소매,2209,,,2024Q1,True,False
2024-03-01,대덕구,수리·개인,1238,,,2024Q1,True,False
2024-03-01,대덕구,숙박,79,,,2024Q1,True,False
2024-03-01,대덕구,시설관리·임대,319,,,2024Q1,True,False
2024-03-01,대덕구,예술·스포츠,465,,,2024Q1,True,False
2024-03-01,대덕구,음식,2726,,,2024Q1,True,False
2024-03-01,동구,과학·기술,825,,,2024Q1,True,False
2024-03-01,동구,교육,297,,,2024Q1,True,False
2024-03-01,동구,보건의료,84,,,2024Q1,True,False
2024-03-01,동구,부동산,361,,,2024Q1,True,False
2024-03-01,동구,소매,3130,,,2024Q1,True,False
2024-03-01,동구,수리·개인,1392,,,2024Q1,True,False
2024-03-01,동구,숙박,171,,,2024Q1,True,False
2024-03-01,동구,시설관리·임대,368,,,2024Q1,True,False
2024-03-01,동구,예술·스포츠,467,,,2024Q1,True,False
2024-03-01,동구,음식,3395,,,2024Q1,True,False
2024-03-01,서구,과학·기술,2674,,,2024Q1,True,False
2024-03-01,서구,교육,1293,,,2024Q1,True,False
2024-03-01,서구,보건의료,351,,,2024Q1,True,False
2024-03-01,서구,부동산,954,,,2024Q1,True,False
2024-03-01,서구,소매,5723,,,2024Q1,True,False
2024-03-01,서구,수리·개인,3344,,,2024Q1,True,False
2024-03-01,서구,숙박,121,,,2024Q1,True,False
2024-03-01,서구,시설관리·임대,948,,,2024Q1,True,False
2024-03-01,서구,예술·스포츠,1207,,,2024Q1,True,False
2024-03-01,서구,음식,7320,,,2024Q1,True,False
2024-03-01,유성구,과학·기술,1520,,,2024Q1,True,False
2024-03-01,유성구,교육,946,,,2024Q1,True,False
2024-03-01,유성구,보건의료,171,,,2024Q1,True,False
2024-03-01,유성구,부동산,695,,,2024Q1,True,False
2024-03-01,유성구,소매,4393,,,2024Q1,True,False
2024-03-01,유성구,수리·개인,2145,,,2024Q1,True,False
2024-03-01,유성구,숙박,128,,,2024Q1,True,False
2024-03-01,유성구,시설관리·임대,630,,,2024Q1,True,False
2024-03-01,유성구,예술·스포츠,811,,,2024Q1,True,False
2024-03-01,유성구,음식,6160,,,2024Q1,True,False
2024-03-01,중구,과학·기술,823,,,2024Q1,True,False
2024-03-01,중구,교육,419,,,2024Q1,True,False
2024-03-01,중구,보건의료,104,,,2024Q1,True,False
2024-03-01,중구,부동산,322,,,2024Q1,True,False
2024-03-01,중구,소매,3594,,,2024Q1,True,False
2024-03-01,중구,수리·개인,1612,,,2024Q1,True,False
2024-03-01,중구,숙박,159,,,2024Q1,True,False
2024-03-01,중구,시설관리·임대,498,,,2024Q1,True,False
2024-03-01,중구,예술·스포츠,545,,,2024Q1,True,False
2024-03-01,중구,음식,3863,,,2024Q1,True,False
2024-06-01,대덕구,과학·기술,572,-0.69444444,,2024Q2,True,False
2024-06-01,대덕구,교육,245,0.00000000,,2024Q2,True,False
2024-06-01,대덕구,보건의료,46,0.00000000,,2024Q2,True,False
2024-06-01,대덕구,부동산,194,-3.48258706,,2024Q2,True,False
2024-06-01,대덕구,소매,2175,-1.53915799,,2024Q2,True,False
2024-06-01,대덕구,수리·개인,1231,-0.56542811,,2024Q2,True,False
