district,category,start_count,end_count,change,growth_pct,city_category_growth_pct,difference_pp,opposite_direction
서구,수리·개인,3553,3859,306,8.61244019,7.06352299,1.54891720,False
서구,과학·기술,2870,3090,220,7.66550523,8.27606375,-0.61055853,False
유성구,과학·기술,1648,1867,219,13.28883495,8.27606375,5.01277120,False
서구,소매,6068,6252,184,3.03230059,1.81836498,1.21393561,False
유성구,수리·개인,2271,2427,156,6.86922061,7.06352299,-0.19430239,False
서구,시설관리·임대,1137,1276,139,12.22515391,9.49110209,2.73405182,False
중구,음식,3851,3987,136,3.53155025,0.79878281,2.73276744,False
유성구,부동산,710,830,120,16.90140845,10.05104044,6.85036801,False
동구,수리·개인,1475,1577,102,6.91525424,7.06352299,-0.14826876,False
중구,수리·개인,1674,1762,88,5.25686977,7.06352299,-1.80665322,False
서구,음식,7336,7416,80,1.09051254,0.79878281,0.29172973,False
서구,부동산,938,1016,78,8.31556503,10.05104044,-1.73547541,False
중구,숙박,180,255,75,41.66666667,25.03457815,16.63208852,False
대덕구,수리·개인,1291,1364,73,5.65453137,7.06352299,-1.40899162,False
동구,시설관리·임대,429,500,71,16.55011655,9.49110209,7.05901446,False
서구,예술·스포츠,1238,1309,71,5.73505654,2.38689981,3.34815674,False
서구,숙박,152,219,67,44.07894737,25.03457815,19.04436922,False
유성구,시설관리·임대,688,749,61,8.86627907,9.49110209,-0.62482302,False
유성구,교육,1210,1270,60,4.95867769,2.37011756,2.58856013,False
중구,과학·기술,860,915,55,6.39534884,8.27606375,-1.88071491,False
유성구,소매,4423,4477,54,1.22089080,1.81836498,-0.59747418,False
중구,소매,3790,3844,54,1.42480211,1.81836498,-0.39356287,False
대덕구,과학·기술,585,630,45,7.69230769,8.27606375,-0.58375606,False
대덕구,소매,2187,2225,38,1.73754001,1.81836498,-0.08082497,False
동구,소매,3385,3416,31,0.91580502,1.81836498,-0.90255996,False
대덕구,교육,290,318,28,9.65517241,2.37011756,7.28505486,False
대덕구,시설관리·임대,351,379,28,7.97720798,9.49110209,-1.51389411,False
동구,과학·기술,876,903,27,3.08219178,8.27606375,-5.19387197,False
동구,부동산,361,383,22,6.09418283,10.05104044,-3.95685761,False
동구,숙박,173,195,22,12.71676301,25.03457815,-12.31781514,False
중구,부동산,337,357,20,5.93471810,10.05104044,-4.11632234,False
중구,예술·스포츠,556,572,16,2.87769784,2.38689981,0.49079804,False
대덕구,부동산,201,217,16,7.96019900,10.05104044,-2.09084143,False
동구,교육,598,614,16,2.67558528,2.37011756,0.30546773,False
서구,교육,2353,2367,14,0.59498513,2.37011756,-1.77513243,False
유성구,숙박,135,148,13,9.62962963,25.03457815,-15.40494852,False
대덕구,음식,2736,2745,9,0.32894737,0.79878281,-0.46983544,False
서구,보건의료,941,949,8,0.85015940,0.36138358,0.48877582,False
유성구,보건의료,214,222,8,3.73831776,0.36138358,3.37693417,False
중구,교육,823,830,7,0.85054678,2.37011756,-1.51957078,False
중구,시설관리·임대,598,603,5,0.83612040,9.49110209,-8.65498169,False
대덕구,숙박,83,87,4,4.81927711,25.03457815,-20.21530104,False
대덕구,예술·스포츠,473,477,4,0.84566596,2.38689981,-1.54123384,False
대덕구,보건의료,60,61,1,1.66666667,0.36138358,1.30528308,False
동구,예술·스포츠,472,472,0,0.00000000,2.38689981,-2.38689981,False
동구,보건의료,357,354,-3,-0.84033613,0.36138358,-1.20171972,True
유성구,예술·스포츠,864,859,-5,-0.57870370,2.38689981,-2.96560351,True
중구,보건의료,365,358,-7,-1.91780822,0.36138358,-2.27919180,True
동구,음식,3422,3410,-12,-0.35067212,0.79878281,-1.14945493,True
유성구,음식,6316,6292,-24,-0.37998733,0.79878281,-1.17877014,True
