period,district,store_count,qoq_pct,yoy_pct
2024-03-01,대덕구,8104,,
2024-03-01,동구,10490,,
2024-03-01,서구,23935,,
2024-03-01,유성구,17599,,
2024-03-01,중구,11939,,
2024-06-01,대덕구,7972,-1.62882527,
2024-06-01,동구,10305,-1.76358437,
2024-06-01,서구,23516,-1.75057447,
2024-06-01,유성구,17293,-1.73873516,
2024-06-01,중구,11746,-1.61655080,
2024-09-01,대덕구,7773,-2.49623683,
2024-09-01,동구,10057,-2.40659874,
2024-09-01,서구,22858,-2.79809491,
2024-09-01,유성구,16843,-2.60220899,
2024-09-01,중구,11336,-3.49054997,
2024-12-01,대덕구,8555,10.06046571,
2024-12-01,동구,11970,19.02157701,
2024-12-01,서구,27497,20.29486394,
2024-12-01,유성구,18995,12.77682123,
2024-12-01,중구,13572,19.72477064,
2025-03-01,대덕구,8257,-3.48334307,1.88795656
2025-03-01,동구,11548,-3.52548037,10.08579600
2025-03-01,서구,26586,-3.31308870,11.07583037
2025-03-01,유성구,18479,-2.71650434,5.00028411
2025-03-01,중구,13034,-3.96404362,9.17162241
2025-06-01,대덕구,8246,-0.13322030,3.43702960
2025-06-01,동구,11441,-0.92656737,11.02377487
2025-06-01,서구,26501,-0.31971714,12.69348529
2025-06-01,유성구,18412,-0.36257373,6.47082635
2025-06-01,중구,13005,-0.22249501,10.71854248
2025-10-01,대덕구,8306,,
2025-10-01,동구,11599,,
2025-10-01,서구,26764,,
2025-10-01,유성구,18653,,
2025-10-01,중구,13096,,
2025-12-01,대덕구,8273,,-3.29631794
2025-12-01,동구,11548,,-3.52548037
2025-12-01,서구,26730,,-2.78939521
2025-12-01,유성구,18661,,-1.75835746
2025-12-01,중구,13034,,-3.96404362
2026-03-01,대덕구,8318,0.54393811,0.73876711
2026-03-01,동구,11580,0.27710426,0.27710426
2026-03-01,서구,26885,0.57987280,1.12465207
2026-03-01,유성구,18719,0.31080864,1.29877158
2026-03-01,중구,13105,0.54472917,0.54472917
2026-06-01,대덕구,8503,2.22409233,3.11666262
2026-06-01,동구,11824,2.10708117,3.34760947
2026-06-01,서구,27753,3.22856611,4.72435002
2026-06-01,유성구,19141,2.25439393,3.95937432
2026-06-01,중구,13483,2.88439527,3.67550942
