dong_code,district,dong,store_count,population,supply_density_per_1000,low_population_flag,elderly_share_pct,youth_share_pct,hhi,leading_category,leading_share_pct,lq_교육 서비스업,lq_보건의료업,lq_부동산업,"lq_사업시설 관리, 사업 지원 및 임대 서비스업",lq_소매업,lq_수리 및 개인 서비스업,lq_숙박업,"lq_예술, 스포츠 및 여가관련 서비스업",lq_음식점업,"lq_전문, 과학 및 기술 서비스업",period,baseline_stores,surviving_stores,survival_pct
30110515,동구,중앙동,1922,3284,585.26,False,44.28,14.37,0.3255,소매업,51.46,0.199,1.102,0.38,0.538,2.004,0.398,3.242,0.33,0.728,1.1,2026-03-01,1791,1479,82.58
30110530,동구,효동,1179,29268,40.28,False,17.1,23.53,0.1984,음식점업,30.2,1.817,1.83,0.906,0.385,1.011,0.917,0.093,1.3,1.025,0.37,2026-03-01,1034,743,71.86
30110545,동구,신인동,400,14690,27.23,False,24.28,24.04,0.1891,음식점업,29.25,0.993,0.899,1.475,0.882,0.964,1.213,1.093,1.04,0.993,0.661,2026-03-01,336,271,80.65
30110551,동구,판암1동,395,11601,34.05,False,30.53,20.39,0.1897,음식점업,29.11,0.934,3.035,0.925,0.766,0.966,1.21,0.0,0.998,0.988,0.524,2026-03-01,294,238,80.95
30110552,동구,판암2동,160,7601,21.05,False,44.73,14.43,0.2477,음식점업,35.62,0.177,1.249,0.527,0.945,1.193,1.057,1.367,0.821,1.209,0.503,2026-03-01,136,98,72.06
30110560,동구,용운동,874,20730,42.16,False,20.78,28.26,0.1985,음식점업,31.12,0.99,1.235,0.804,0.692,0.918,1.329,0.876,1.403,1.057,0.5,2026-03-01,811,598,73.74
30110585,동구,대동,589,13251,44.45,False,22.12,20.75,0.1869,음식점업,29.88,1.011,2.51,1.479,1.284,0.979,0.949,0.0,0.892,1.014,0.488,2026-03-01,500,389,77.8
30110590,동구,자양동,687,10738,63.98,False,22.33,36.81,0.2379,음식점업,40.9,0.537,0.349,1.555,1.064,0.731,1.124,0.318,1.37,1.389,0.468,2026-03-01,675,510,75.56
30110620,동구,가양1동,617,12670,48.7,False,27.64,22.84,0.2103,음식점업,33.06,0.552,0.453,1.184,1.634,0.978,1.156,1.063,0.532,1.122,0.801,2026-03-01,585,444,75.9
30110630,동구,가양2동,898,17985,49.93,False,23.79,25.98,0.2085,음식점업,30.4,0.9,1.38,0.782,0.814,1.076,1.253,0.609,0.804,1.032,0.563,2026-03-01,826,641,77.6
30110640,동구,용전동,1340,19567,68.48,False,19.94,33.03,0.1849,음식점업,27.69,0.466,0.984,1.154,1.091,1.043,1.075,5.711,0.915,0.94,0.84,2026-03-01,1219,938,76.95
