dong_code,district,dong,store_count,population,supply_density_per_1000,low_population_flag,elderly_share_pct,youth_share_pct,hhi,leading_category,leading_share_pct,lq_교육 서비스업,lq_보건의료업,lq_부동산업,"lq_사업시설 관리, 사업 지원 및 임대 서비스업",lq_소매업,lq_수리 및 개인 서비스업,lq_숙박업,"lq_예술, 스포츠 및 여가관련 서비스업",lq_음식점업,"lq_전문, 과학 및 기술 서비스업",period,baseline_stores,surviving_stores,survival_pct
30110515,동구,중앙동,1791,3780,473.81,False,40.82,13.23,0.3212,소매업,50.7,0.314,0.745,0.429,0.67,1.918,0.426,3.975,0.357,0.674,1.122,2024-03-01,1791,1791,100.0
30110530,동구,효동,1034,22668,45.61,False,17.28,19.0,0.2354,음식점업,35.69,1.459,1.198,0.991,0.252,1.057,0.988,0.106,1.476,1.096,0.402,2024-03-01,1034,1034,100.0
30110545,동구,신인동,336,15199,22.11,False,21.63,24.53,0.2119,음식점업,33.33,1.139,0.567,1.694,0.621,0.901,1.322,0.652,1.043,1.024,0.602,2024-03-01,336,336,100.0
30110551,동구,판암1동,294,12063,24.37,False,26.25,21.27,0.2126,음식점업,31.97,0.536,2.918,1.452,0.976,0.991,1.31,0.0,1.192,0.982,0.458,2024-03-01,294,294,100.0
30110552,동구,판암2동,136,7979,17.04,False,39.8,15.64,0.281,음식점업,38.24,0.331,0.701,0.209,0.767,1.28,0.871,0.0,1.213,1.174,0.495,2024-03-01,136,136,100.0
30110560,동구,용운동,811,21365,37.96,False,18.1,27.89,0.2371,음식점업,37.73,0.694,0.588,0.947,0.868,0.91,1.233,0.54,1.322,1.159,0.485,2024-03-01,811,811,100.0
30110585,동구,대동,500,13963,35.81,False,19.8,21.98,0.232,음식점업,37.0,0.676,1.525,1.309,1.2,0.976,1.007,0.219,0.949,1.136,0.561,2024-03-01,500,500,100.0
30110590,동구,자양동,675,10898,61.94,False,20.76,36.67,0.2672,음식점업,45.33,0.667,0.0,1.56,0.927,0.645,1.086,0.162,1.283,1.392,0.516,2024-03-01,675,675,100.0
30110620,동구,가양1동,585,12857,45.5,False,24.72,23.25,0.2266,음식점업,36.41,0.539,0.0,1.264,1.427,0.886,1.215,0.936,0.634,1.118,0.845,2024-03-01,585,585,100.0
30110630,동구,가양2동,826,18837,43.85,False,20.62,26.85,0.2318,음식점업,34.14,0.682,0.462,0.999,0.789,1.026,1.363,0.663,0.899,1.049,0.598,2024-03-01,826,826,100.0
30110640,동구,용전동,1219,20209,60.32,False,17.17,33.65,0.2016,음식점업,29.94,0.351,1.017,1.307,0.92,1.049,1.087,6.469,0.913,0.92,0.737,2024-03-01,1219,1219,100.0
30110665,동구,성남동,457,10936,41.79,False,24.71,20.88,0.2256,음식점업,33.7,0.69,1.252,0.809,1.027,1.06,1.151,0.719,1.128,1.035,0.614,2024-03-01,457,457,100.0
30110670,동구,홍도동,467,11292,41.36,False,20.01,30.95,0.2406,음식점업,39.83,0.482,0.612,1.158,1.117,0.875,0.92,0.0,1.325,1.223,0.793,2024-03-01,467,467,100.0
30110695,동구,삼성동,694,13093,53.01,False,28.07,18.56,0.2119,"전문, 과학 및 기술 서비스업",31.27,0.389,0.275,0.615,1.766,0.949,0.896,0.316,0.594,0.536,3.511,2024-03-01,694,694,100.0
30110725,동구,대청동,117,2235,52.35,False,41.25,12.39,0.4602,음식점업,64.1,0.962,0.815,0.243,0.446,0.808,0.063,1.872,0.352,1.969,0.288,2024-03-01,117,117,100.0
30110740,동구,산내동,548,19498,28.11,False,21.17,17.31,0.2241,음식점업,33.21,0.822,0.522,0.831,1.333,1.084,1.081,1.599,0.677,1.02,0.738,2024-03-01,548,548,100.0
30140535,중구,은행선화동,1964,15110,129.98,False,18.25,31.08,0.2234,소매업,35.39,0.757,0.68,0.898,1.341,1.339,0.739,1.227,0.903,0.819,1.132,2024-03-01,1964,1964,100.0
30140550,중구,목동,356,16769,21.23,False,11.15,21.54,0.2031,음식점업,33.15,3.163,1.339,0.959,0.293,0.797,1.082,0.0,1.158,1.018,0.631,2024-03-01,356,356,100.0
30140560,중구,중촌동,581,13714,42.37,False,22.59,23.3,0.2074,음식점업,30.29,0.775,0.328,0.784,1.392,1.003,1.287,0.189,0.994,0.93,1.005,2024-03-01,581,581,100.0
30140575,중구,대흥동,1540,13081,117.73,False,19.28,31.77,0.2679,음식점업,40.06,0.76,0.433,0.369,0.694,1.142,0.567,3.129,0.723,1.231,0.89,2024-03-01,1540,1540,100.0
30140605,중구,문창동,485,4303,112.71,False,33.44,17.13,0.2419,소매업,34.85,0.232,0.393,0.411,1.076,1.318,1.099,4.968,0.893,0.925,0.486,2024-03-01,485,485,100.0
30140620,중구,석교동,507,14699,34.49,False,31.03,18.9,0.2135,소매업,31.56,0.4,0.564,0.954,1.698,1.194,1.49,0.0,0.895,0.757,0.797,2024-03-01,507,507,100.0
30140630,중구,대사동,430,5337,80.57,False,27.88,29.47,0.2389,음식점업,35.35,0.576,2.66,0.728,0.91,1.126,0.999,2.038,0.671,1.086,0.548,2024-03-01,430,430,100.0
30140640,중구,부사동,426,6370,66.88,False,30.11,20.08,0.2635,음식점업,35.21,0.37,0.671,0.735,0.735,1.305,0.852,0.771,1.065,1.081,0.58,2024-03-01,426,426,100.0
30140655,중구,용두동,510,8996,56.69,False,20.46,33.27,0.2128,소매업,31.96,0.927,0.748,1.339,1.33,1.209,1.336,0.859,0.485,0.795,0.705,2024-03-01,510,510,100.0
30140670,중구,오류동,799,10271,77.79,False,23.99,26.21,0.2524,음식점업,43.3,0.733,1.67,0.783,1.11,0.781,0.649,0.96,1.265,1.33,0.928,2024-03-01,799,799,100.0
30140680,중구,태평1동,498,12716,39.16,False,19.7,20.43,0.2464,음식점업,33.73,0.859,0.574,0.686,0.681,1.193,1.205,0.22,1.035,1.036,0.428,2024-03-01,498,498,100.0
30140690,중구,태평2동,388,24417,15.89,False,22.96,18.87,0.2391,소매업,36.08,0.813,0.491,1.173,0.874,1.365,1.088,0.565,0.744,0.863,0.608,2024-03-01,388,388,100.0
30140700,중구,유천1동,665,5894,112.83,False,26.35,24.08,0.2401,음식점업,40.45,1.185,1.003,0.385,0.588,0.859,0.813,4.117,1.55,1.242,0.523,2024-03-01,665,665,100.0
