period,dong_code,district,dong,category,store_count
2024-03-01,30110515,동구,중앙동,교육 서비스업,25
2024-03-01,30110515,동구,중앙동,보건의료업,14
2024-03-01,30110515,동구,중앙동,부동산업,27
2024-03-01,30110515,동구,중앙동,"사업시설 관리, 사업 지원 및 임대 서비스업",46
2024-03-01,30110515,동구,중앙동,소매업,908
2024-03-01,30110515,동구,중앙동,수리 및 개인 서비스업,103
2024-03-01,30110515,동구,중앙동,숙박업,65
2024-03-01,30110515,동구,중앙동,"예술, 스포츠 및 여가관련 서비스업",31
2024-03-01,30110515,동구,중앙동,음식점업,393
2024-03-01,30110515,동구,중앙동,"전문, 과학 및 기술 서비스업",179
2024-03-01,30110530,동구,효동,교육 서비스업,67
2024-03-01,30110530,동구,효동,보건의료업,13
2024-03-01,30110530,동구,효동,부동산업,36
2024-03-01,30110530,동구,효동,"사업시설 관리, 사업 지원 및 임대 서비스업",10
2024-03-01,30110530,동구,효동,소매업,289
2024-03-01,30110530,동구,효동,수리 및 개인 서비스업,138
2024-03-01,30110530,동구,효동,숙박업,1
2024-03-01,30110530,동구,효동,"예술, 스포츠 및 여가관련 서비스업",74
2024-03-01,30110530,동구,효동,음식점업,369
2024-03-01,30110530,동구,효동,"전문, 과학 및 기술 서비스업",37
2024-03-01,30110545,동구,신인동,교육 서비스업,17
2024-03-01,30110545,동구,신인동,보건의료업,2
2024-03-01,30110545,동구,신인동,부동산업,20
2024-03-01,30110545,동구,신인동,"사업시설 관리, 사업 지원 및 임대 서비스업",8
2024-03-01,30110545,동구,신인동,소매업,80
2024-03-01,30110545,동구,신인동,수리 및 개인 서비스업,60
2024-03-01,30110545,동구,신인동,숙박업,2
2024-03-01,30110545,동구,신인동,"예술, 스포츠 및 여가관련 서비스업",17
2024-03-01,30110545,동구,신인동,음식점업,112
2024-03-01,30110545,동구,신인동,"전문, 과학 및 기술 서비스업",18
2024-03-01,30110551,동구,판암1동,교육 서비스업,7
2024-03-01,30110551,동구,판암1동,보건의료업,9
2024-03-01,30110551,동구,판암1동,부동산업,15
2024-03-01,30110551,동구,판암1동,"사업시설 관리, 사업 지원 및 임대 서비스업",11
2024-03-01,30110551,동구,판암1동,소매업,77
2024-03-01,30110551,동구,판암1동,수리 및 개인 서비스업,52
2024-03-01,30110551,동구,판암1동,숙박업,0
2024-03-01,30110551,동구,판암1동,"예술, 스포츠 및 여가관련 서비스업",17
2024-03-01,30110551,동구,판암1동,음식점업,94
2024-03-01,30110551,동구,판암1동,"전문, 과학 및 기술 서비스업",12
2024-03-01,30110552,동구,판암2동,교육 서비스업,2
2024-03-01,30110552,동구,판암2동,보건의료업,1
2024-03-01,30110552,동구,판암2동,부동산업,1
2024-03-01,30110552,동구,판암2동,"사업시설 관리, 사업 지원 및 임대 서비스업",4
2024-03-01,30110552,동구,판암2동,소매업,46
2024-03-01,30110552,동구,판암2동,수리 및 개인 서비스업,16
2024-03-01,30110552,동구,판암2동,숙박업,0
2024-03-01,30110552,동구,판암2동,"예술, 스포츠 및 여가관련 서비스업",8
2024-03-01,30110552,동구,판암2동,음식점업,52
2024-03-01,30110552,동구,판암2동,"전문, 과학 및 기술 서비스업",6
2024-03-01,30110560,동구,용운동,교육 서비스업,25
2024-03-01,30110560,동구,용운동,보건의료업,5
2024-03-01,30110560,동구,용운동,부동산업,27
2024-03-01,30110560,동구,용운동,"사업시설 관리, 사업 지원 및 임대 서비스업",27
2024-03-01,30110560,동구,용운동,소매업,195
2024-03-01,30110560,동구,용운동,수리 및 개인 서비스업,135
2024-03-01,30110560,동구,용운동,숙박업,4
2024-03-01,30110560,동구,용운동,"예술, 스포츠 및 여가관련 서비스업",52
2024-03-01,30110560,동구,용운동,음식점업,306
2024-03-01,30110560,동구,용운동,"전문, 과학 및 기술 서비스업",35
2024-03-01,30110585,동구,대동,교육 서비스업,15
2024-03-01,30110585,동구,대동,보건의료업,8
2024-03-01,30110585,동구,대동,부동산업,23
2024-03-01,30110585,동구,대동,"사업시설 관리, 사업 지원 및 임대 서비스업",23
2024-03-01,30110585,동구,대동,소매업,129
2024-03-01,30110585,동구,대동,수리 및 개인 서비스업,68
2024-03-01,30110585,동구,대동,숙박업,1
2024-03-01,30110585,동구,대동,"예술, 스포츠 및 여가관련 서비스업",23
2024-03-01,30110585,동구,대동,음식점업,185
2024-03-01,30110585,동구,대동,"전문, 과학 및 기술 서비스업",25
2024-03-01,30110590,동구,자양동,교육 서비스업,20
2024-03-01,30110590,동구,자양동,보건의료업,0
2024-03-01,30110590,동구,자양동,부동산업,37
2024-03-01,30110590,동구,자양동,"사업시설 관리, 사업 지원 및 임대 서비스업",24
2024-03-01,30110590,동구,자양동,소매업,115
2024-03-01,30110590,동구,자양동,수리 및 개인 서비스업,99
2024-03-01,30110590,동구,자양동,숙박업,1
2024-03-01,30110590,동구,자양동,"예술, 스포츠 및 여가관련 서비스업",42
2024-03-01,30110590,동구,자양동,음식점업,306
2024-03-01,30110590,동구,자양동,"전문, 과학 및 기술 서비스업",31
2024-03-01,30110620,동구,가양1동,교육 서비스업,14
2024-03-01,30110620,동구,가양1동,보건의료업,0
2024-03-01,30110620,동구,가양1동,부동산업,26
2024-03-01,30110620,동구,가양1동,"사업시설 관리, 사업 지원 및 임대 서비스업",32
2024-03-01,30110620,동구,가양1동,소매업,137
2024-03-01,30110620,동구,가양1동,수리 및 개인 서비스업,96
2024-03-01,30110620,동구,가양1동,숙박업,5
2024-03-01,30110620,동구,가양1동,"예술, 스포츠 및 여가관련 서비스업",18
2024-03-01,30110620,동구,가양1동,음식점업,213
2024-03-01,30110620,동구,가양1동,"전문, 과학 및 기술 서비스업",44
2024-03-01,30110630,동구,가양2동,교육 서비스업,25
2024-03-01,30110630,동구,가양2동,보건의료업,4
