period,dong_code,district,dong,population,age_0_14,age_15_64,age_20_39,age_65_plus,elderly_share_pct,youth_share_pct
2025-03-01,30110515,동구,중앙동,3563,96,1938,488,1529,42.91,13.7
2025-03-01,30110530,동구,효동,28911,4307,19947,6884,4657,16.11,23.81
2025-03-01,30110545,동구,신인동,14501,1629,9488,3492,3384,23.34,24.08
2025-03-01,30110551,동구,판암1동,11720,912,7453,2429,3355,28.63,20.73
2025-03-01,30110552,동구,판암2동,7782,274,4207,1169,3301,42.42,15.02
2025-03-01,30110560,동구,용운동,20775,2069,14639,5863,4067,19.58,28.22
2025-03-01,30110585,동구,대동,13470,1674,8960,2814,2836,21.05,20.89
2025-03-01,30110590,동구,자양동,10842,435,8049,4059,2358,21.75,37.44
2025-03-01,30110620,동구,가양1동,12830,931,8579,2950,3320,25.88,22.99
2025-03-01,30110630,동구,가양2동,18267,1303,12867,4766,4097,22.43,26.09
2025-03-01,30110640,동구,용전동,19783,1284,14815,6557,3684,18.62,33.14
2025-03-01,30110665,동구,성남동,10596,915,6839,2139,2842,26.82,20.19
2025-03-01,30110670,동구,홍도동,11073,691,8029,3481,2353,21.25,31.44
2025-03-01,30110695,동구,삼성동,13254,1047,8362,2539,3845,29.01,19.16
2025-03-01,30110725,동구,대청동,2123,71,1106,256,946,44.56,12.06
2025-03-01,30110740,동구,산내동,21090,2760,13854,3939,4476,21.22,18.68
2025-03-01,30140535,중구,은행선화동,19492,2490,13947,6015,3055,15.67,30.86
2025-03-01,30140550,중구,목동,17532,3070,12442,3939,2020,11.52,22.47
2025-03-01,30140560,중구,중촌동,13765,1382,9156,3211,3227,23.44,23.33
2025-03-01,30140575,중구,대흥동,12670,1021,9083,4016,2566,20.25,31.7
2025-03-01,30140605,중구,문창동,4151,215,2456,670,1480,35.65,16.14
2025-03-01,30140620,중구,석교동,13961,809,8492,2483,4660,33.38,17.79
2025-03-01,30140630,중구,대사동,5185,220,3406,1524,1559,30.07,29.39
2025-03-01,30140640,중구,부사동,6055,360,3735,1113,1960,32.37,18.38
2025-03-01,30140655,중구,용두동,9827,851,7084,3223,1892,19.25,32.8
2025-03-01,30140670,중구,오류동,9927,757,6621,2529,2549,25.68,25.48
2025-03-01,30140680,중구,태평1동,12314,1383,8320,2468,2611,21.2,20.04
2025-03-01,30140690,중구,태평2동,23761,2450,15575,4425,5736,24.14,18.62
2025-03-01,30140700,중구,유천1동,5741,308,3823,1341,1610,28.04,23.36
2025-03-01,30140710,중구,유천2동,12691,979,7968,2785,3744,29.5,21.94
2025-03-01,30140720,중구,문화1동,20302,2405,13714,4252,4183,20.6,20.94
2025-03-01,30140730,중구,문화2동,11230,727,7167,2178,3336,29.71,19.39
2025-03-01,30140740,중구,산성동,25006,1708,16121,4618,7177,28.7,18.47
2025-03-01,30170510,서구,복수동,21148,2645,14966,4665,3537,16.72,22.06
2025-03-01,30170520,서구,도마1동,18317,1626,12308,5112,4383,23.93,27.91
2025-03-01,30170530,서구,도마2동,18768,1658,12315,4570,4795,25.55,24.35
2025-03-01,30170535,서구,정림동,14826,1273,9613,2848,3940,26.57,19.21
2025-03-01,30170540,서구,변동,12574,988,8332,2768,3254,25.88,22.01
2025-03-01,30170550,서구,용문동,15110,1405,11019,5286,2686,17.78,34.98
2025-03-01,30170555,서구,탄방동,26093,2233,20426,9460,3434,13.16,36.25
2025-03-01,30170560,서구,괴정동,18331,1254,14509,7876,2568,14.01,42.97
2025-03-01,30170570,서구,가장동,10554,964,7066,2414,2524,23.92,22.87
2025-03-01,30170575,서구,내동,22111,2314,15132,4975,4665,21.1,22.5
2025-03-01,30170581,서구,갈마1동,20874,1355,15780,7539,3739,17.91,36.12
2025-03-01,30170582,서구,갈마2동,23500,1609,18847,9278,3044,12.95,39.48
2025-03-01,30170586,서구,월평1동,11098,504,8955,4911,1639,14.77,44.25
2025-03-01,30170587,서구,월평2동,13336,1058,8627,2778,3651,27.38,20.83
2025-03-01,30170588,서구,월평3동,19964,2467,13948,4460,3549,17.78,22.34
2025-03-01,30170590,서구,가수원동,10166,841,6661,2127,2664,26.2,20.92
2025-03-01,30170593,서구,도안동,36449,7541,26283,9687,2625,7.2,26.58
2025-03-01,30170596,서구,관저1동,14578,1460,10779,4276,2339,16.04,29.33
2025-03-01,30170597,서구,관저2동,47529,7315,35077,12576,5137,10.81,26.46
2025-03-01,30170600,서구,기성동,3363,137,1731,396,1495,44.45,11.78
2025-03-01,30170630,서구,둔산1동,16336,3068,11255,2584,2013,12.32,15.82
2025-03-01,30170640,서구,둔산2동,34592,4279,26047,10233,4266,12.33,29.58
2025-03-01,30170650,서구,만년동,12013,1113,9387,4161,1513,12.59,34.64
2025-03-01,30170660,서구,둔산3동,18767,2202,12766,3659,3799,20.24,19.5
2025-03-01,30200520,유성구,진잠동,25344,2537,18171,6203,4636,18.29,24.48
2025-03-01,30200526,유성구,학하동,19603,2661,14360,6267,2582,13.17,31.97
2025-03-01,30200527,유성구,상대동,25088,4588,17662,5196,2838,11.31,20.71
2025-03-01,30200530,유성구,온천1동,26703,1020,21444,12259,4239,15.87,45.91
2025-03-01,30200540,유성구,온천2동,40436,4190,30608,15565,5638,13.94,38.49
2025-03-01,30200546,유성구,노은1동,20777,2909,15255,5545,2613,12.58,26.69
2025-03-01,30200547,유성구,노은2동,23301,3009,17036,5585,3256,13.97,23.97
2025-03-01,30200548,유성구,노은3동,36009,6123,25310,8138,4576,12.71,22.6
2025-03-01,30200550,유성구,신성동,25296,3525,19192,9195,2579,10.2,36.35
2025-03-01,30200570,유성구,전민동,25598,3441,19112,7898,3045,11.9,30.85
2025-03-01,30200580,유성구,구즉동,32739,4225,24542,10342,3972,12.13,31.59
2025-03-01,30200600,유성구,관평동,37393,6567,27992,10535,2834,7.58,28.17
2025-03-01,30200610,유성구,원신흥동,29888,4756,21359,8171,3773,12.62,27.34
2025-03-01,30230510,대덕구,오정동,13540,757,9200,3397,3583,26.46,25.09
2025-03-01,30230520,대덕구,대화동,5465,297,3627,1110,1541,28.2,20.31
2025-03-01,30230525,대덕구,회덕동,12489,917,8227,2633,3345,26.78,21.08
2025-03-01,30230533,대덕구,비래동,14726,1048,10121,3042,3557,24.15,20.66
2025-03-01,30230543,대덕구,송촌동,25265,2717,18872,5712,3676,14.55,22.61
2025-03-01,30230546,대덕구,중리동,17904,1067,12679,4375,4158,23.22,24.44
2025-03-01,30230550,대덕구,신탄진동,16019,1465,11281,4266,3273,20.43,26.63
2025-03-01,30230560,대덕구,석봉동,15957,2524,11263,4051,2170,13.6,25.39
2025-03-01,30230570,대덕구,덕암동,12601,848,8969,3301,2784,22.09,26.2
2025-03-01,30230580,대덕구,목상동,5922,465,4524,1691,933,15.75,28.55
2025-03-01,30230600,대덕구,법1동,12126,1043,8052,2628,3031,25.0,21.67
2025-03-01,30230610,대덕구,법2동,14706,1155,9839,2885,3712,25.24,19.62
2025-06-01,30110515,동구,중앙동,3518,94,1898,491,1526,43.38,13.96
2025-06-01,30110530,동구,효동,29098,4297,20074,6945,4727,16.25,23.87
2025-06-01,30110545,동구,신인동,14497,1621,9452,3526,3424,23.62,24.32
2025-06-01,30110551,동구,판암1동,11721,902,7398,2417,3421,29.19,20.62
