period,dong_code,district,dong,baseline_stores,surviving_stores,survival_pct
2025-03-01,30110515,동구,중앙동,1930,1930,100.0
2025-03-01,30110530,동구,효동,1188,1188,100.0
2025-03-01,30110545,동구,신인동,380,380,100.0
2025-03-01,30110551,동구,판암1동,363,363,100.0
2025-03-01,30110552,동구,판암2동,148,148,100.0
2025-03-01,30110560,동구,용운동,883,883,100.0
2025-03-01,30110585,동구,대동,576,576,100.0
2025-03-01,30110590,동구,자양동,721,721,100.0
2025-03-01,30110620,동구,가양1동,611,611,100.0
2025-03-01,30110630,동구,가양2동,914,914,100.0
2025-03-01,30110640,동구,용전동,1336,1336,100.0
2025-03-01,30110665,동구,성남동,534,534,100.0
2025-03-01,30110670,동구,홍도동,507,507,100.0
2025-03-01,30110695,동구,삼성동,733,733,100.0
2025-03-01,30110725,동구,대청동,128,128,100.0
2025-03-01,30110740,동구,산내동,596,596,100.0
2025-03-01,30140535,중구,은행선화동,1912,1912,100.0
2025-03-01,30140550,중구,목동,449,449,100.0
2025-03-01,30140560,중구,중촌동,641,641,100.0
2025-03-01,30140575,중구,대흥동,1845,1845,100.0
2025-03-01,30140605,중구,문창동,532,532,100.0
2025-03-01,30140620,중구,석교동,541,541,100.0
2025-03-01,30140630,중구,대사동,459,459,100.0
2025-03-01,30140640,중구,부사동,471,471,100.0
2025-03-01,30140655,중구,용두동,533,533,100.0
2025-03-01,30140670,중구,오류동,899,899,100.0
2025-03-01,30140680,중구,태평1동,558,558,100.0
2025-03-01,30140690,중구,태평2동,424,424,100.0
2025-03-01,30140700,중구,유천1동,700,700,100.0
2025-03-01,30140710,중구,유천2동,707,707,100.0
2025-03-01,30140720,중구,문화1동,674,674,100.0
2025-03-01,30140730,중구,문화2동,408,408,100.0
2025-03-01,30140740,중구,산성동,1281,1281,100.0
2025-03-01,30170510,서구,복수동,635,635,100.0
2025-03-01,30170520,서구,도마1동,1224,1224,100.0
2025-03-01,30170530,서구,도마2동,755,755,100.0
2025-03-01,30170535,서구,정림동,562,562,100.0
2025-03-01,30170540,서구,변동,674,674,100.0
2025-03-01,30170550,서구,용문동,734,734,100.0
2025-03-01,30170555,서구,탄방동,2761,2761,100.0
2025-03-01,30170560,서구,괴정동,1963,1963,100.0
2025-03-01,30170570,서구,가장동,381,381,100.0
2025-03-01,30170575,서구,내동,621,621,100.0
2025-03-01,30170581,서구,갈마1동,1181,1181,100.0
2025-03-01,30170582,서구,갈마2동,1261,1261,100.0
2025-03-01,30170586,서구,월평1동,1276,1276,100.0
2025-03-01,30170587,서구,월평2동,851,851,100.0
2025-03-01,30170588,서구,월평3동,101,101,100.0
2025-03-01,30170590,서구,가수원동,438,438,100.0
2025-03-01,30170593,서구,도안동,2087,2087,100.0
2025-03-01,30170596,서구,관저1동,535,535,100.0
