from_period,to_period,dong_code,district,dong,base_stores,left,entered
2025-03-01,2025-06-01,30110515,동구,중앙동,1930,55,37
2025-03-01,2025-06-01,30110530,동구,효동,1188,51,30
2025-03-01,2025-06-01,30110545,동구,신인동,380,16,10
2025-03-01,2025-06-01,30110551,동구,판암1동,363,16,17
2025-03-01,2025-06-01,30110552,동구,판암2동,148,7,6
2025-03-01,2025-06-01,30110560,동구,용운동,883,40,22
2025-03-01,2025-06-01,30110585,동구,대동,576,13,16
2025-03-01,2025-06-01,30110590,동구,자양동,721,38,17
2025-03-01,2025-06-01,30110620,동구,가양1동,611,15,19
2025-03-01,2025-06-01,30110630,동구,가양2동,914,36,22
2025-03-01,2025-06-01,30110640,동구,용전동,1336,50,53
2025-03-01,2025-06-01,30110665,동구,성남동,534,19,14
2025-03-01,2025-06-01,30110670,동구,홍도동,507,24,13
2025-03-01,2025-06-01,30110695,동구,삼성동,733,15,8
2025-03-01,2025-06-01,30110725,동구,대청동,128,2,2
2025-03-01,2025-06-01,30110740,동구,산내동,596,18,22
2025-03-01,2025-06-01,30140535,중구,은행선화동,1912,61,73
2025-03-01,2025-06-01,30140550,중구,목동,449,17,15
2025-03-01,2025-06-01,30140560,중구,중촌동,641,21,18
2025-03-01,2025-06-01,30140575,중구,대흥동,1845,93,78
2025-03-01,2025-06-01,30140605,중구,문창동,532,16,15
2025-03-01,2025-06-01,30140620,중구,석교동,541,13,12
2025-03-01,2025-06-01,30140630,중구,대사동,459,16,16
2025-03-01,2025-06-01,30140640,중구,부사동,471,22,34
2025-03-01,2025-06-01,30140655,중구,용두동,533,11,15
2025-03-01,2025-06-01,30140670,중구,오류동,899,31,32
2025-03-01,2025-06-01,30140680,중구,태평1동,558,15,11
2025-03-01,2025-06-01,30140690,중구,태평2동,424,14,8
2025-03-01,2025-06-01,30140700,중구,유천1동,700,14,23
2025-03-01,2025-06-01,30140710,중구,유천2동,707,26,15
2025-03-01,2025-06-01,30140720,중구,문화1동,674,24,15
2025-03-01,2025-06-01,30140730,중구,문화2동,408,16,15
2025-03-01,2025-06-01,30140740,중구,산성동,1281,38,24
2025-03-01,2025-06-01,30170510,서구,복수동,635,32,29
2025-03-01,2025-06-01,30170520,서구,도마1동,1224,31,24
2025-03-01,2025-06-01,30170530,서구,도마2동,755,22,24
2025-03-01,2025-06-01,30170535,서구,정림동,562,12,13
2025-03-01,2025-06-01,30170540,서구,변동,674,9,14
2025-03-01,2025-06-01,30170550,서구,용문동,734,22,28
2025-03-01,2025-06-01,30170555,서구,탄방동,2761,81,82
2025-03-01,2025-06-01,30170560,서구,괴정동,1963,81,92
2025-03-01,2025-06-01,30170570,서구,가장동,381,13,11
2025-03-01,2025-06-01,30170575,서구,내동,621,20,15
2025-03-01,2025-06-01,30170581,서구,갈마1동,1181,51,52
2025-03-01,2025-06-01,30170582,서구,갈마2동,1261,68,45
2025-03-01,2025-06-01,30170586,서구,월평1동,1276,55,44
2025-03-01,2025-06-01,30170587,서구,월평2동,851,47,33
2025-03-01,2025-06-01,30170588,서구,월평3동,101,5,2
2025-03-01,2025-06-01,30170590,서구,가수원동,438,13,7
2025-03-01,2025-06-01,30170593,서구,도안동,2087,73,80
2025-03-01,2025-06-01,30170596,서구,관저1동,535,28,18
2025-03-01,2025-06-01,30170597,서구,관저2동,1848,82,69
2025-03-01,2025-06-01,30170600,서구,기성동,196,4,4
2025-03-01,2025-06-01,30170630,서구,둔산1동,2049,64,79
2025-03-01,2025-06-01,30170640,서구,둔산2동,2920,134,108
2025-03-01,2025-06-01,30170650,서구,만년동,808,23,26
2025-03-01,2025-06-01,30170660,서구,둔산3동,725,34,20
2025-03-01,2025-06-01,30200520,유성구,진잠동,1215,49,33
2025-03-01,2025-06-01,30200526,유성구,학하동,1019,32,24
2025-03-01,2025-06-01,30200527,유성구,상대동,533,13,36
2025-03-01,2025-06-01,30200530,유성구,온천1동,3384,159,158
2025-03-01,2025-06-01,30200540,유성구,온천2동,2909,104,107
2025-03-01,2025-06-01,30200546,유성구,노은1동,1238,52,37
2025-03-01,2025-06-01,30200547,유성구,노은2동,700,32,24
2025-03-01,2025-06-01,30200548,유성구,노은3동,1100,37,41
2025-03-01,2025-06-01,30200550,유성구,신성동,1604,84,48
2025-03-01,2025-06-01,30200570,유성구,전민동,1225,45,23
2025-03-01,2025-06-01,30200580,유성구,구즉동,792,17,20
2025-03-01,2025-06-01,30200600,유성구,관평동,1752,70,71
2025-03-01,2025-06-01,30200610,유성구,원신흥동,1008,35,40
2025-03-01,2025-06-01,30230510,대덕구,오정동,1101,32,24
2025-03-01,2025-06-01,30230520,대덕구,대화동,517,12,8
2025-03-01,2025-06-01,30230525,대덕구,회덕동,463,19,18
2025-03-01,2025-06-01,30230533,대덕구,비래동,615,23,21
2025-03-01,2025-06-01,30230543,대덕구,송촌동,1108,45,37
