period,file,raw_rows,clean_rows,columns,same_schema,duplicate_ids,exact_duplicates,core_missing,invalid_coordinates,sha256
2024-03-01,소상공인시장진흥공단_상가(상권)정보_대전_202403.csv,72067,72067,39,True,0,0,0,0,e3d2c5fdd2c8a74cbf446b1efb1035c0729790a2ca02307d72e3d42f65b70c7e
2024-06-01,소상공인시장진흥공단_상가(상권)정보_대전_202406.csv,70832,70832,39,True,0,0,0,0,6811c4aff5f5811f52faf324a58febd43a2f7fb9a3641dd01726baa29c0d20f0
2024-09-01,소상공인시장진흥공단_상가(상권)정보_대전_202409.csv,68867,68867,39,True,0,0,0,0,2e25d77c297b83f38e48611a79f996ef0a3f99aceba4962614bb4d091352b846
2024-12-01,소상공인시장진흥공단_상가(상권)정보_대전_202412.csv,80589,80589,39,True,0,0,0,0,36aef648784e816979963cfb4b2460801490a8461c38df6831fd5bee1e8b92bd
2025-03-01,소상공인시장진흥공단_상가(상권)정보_대전_202503.csv,77904,77904,39,True,0,0,0,0,78830ce0b6197709742063c2fa257cb526b1d42cd6085630b2778a1fada8db6d
2025-06-01,소상공인시장진흥공단_상가(상권)정보_대전_202506.csv,77605,77605,39,True,0,0,0,0,1bb10bff7e5947a0cce79892cab62e8613913cf5ad9d5204409c0d99abcfbdf7
2025-10-01,소상공인시장진흥공단_상가(상권)정보_대전_202510.csv,78418,78418,39,True,0,0,0,0,7cb62fb38223c88ac716737fe12994db8fd1a9a53ed795cb12bd767003356690
2025-12-01,소상공인시장진흥공단_상가(상권)정보_대전_202512.csv,78246,78246,39,True,0,0,0,0,7b3599e5543337d068afe367741fa03c6e41b1850c9cc01feaba0a7e99fb3940
2026-03-01,소상공인시장진흥공단_상가(상권)정보_대전_202603.csv,78607,78607,39,True,0,0,0,0,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470
2026-06-01,소상공인시장진흥공단_상가(상권)정보_대전_202606.csv,80704,80704,39,True,0,0,0,0,9c0427a38824569099dce9689408c2527d7c6d4f9163a05394a4497a2df28c10
