period,raw_rows,unique_source_codes,latest_rows,legacy_rows,small_confirmed,middle_only,major_only,excluded_rows,unresolved_rows,source_added_rows
2024-03-01,72067,246,72067,0,72067,0,0,0,0,3965
2024-06-01,70832,246,70832,0,70832,0,0,0,0,3931
2024-09-01,68867,246,68867,0,68867,0,0,0,0,3863
2024-12-01,80589,246,80589,0,80589,0,0,0,0,5305
2025-03-01,77904,246,77904,0,77904,0,0,0,0,5304
2025-06-01,77605,246,77605,0,77605,0,0,0,0,5339
2025-10-01,78418,246,78418,0,78418,0,0,0,0,5352
2025-12-01,78246,246,78246,0,78246,0,0,0,0,5326
2026-03-01,78607,246,78607,0,78607,0,0,0,0,5303
2026-06-01,80704,246,80704,0,80704,0,0,0,0,5513
