period,category_code,category,store_count,confirmed_count,coverage_status
2024-03-01,G202,자동차 부품 및 내장품 소매업,296,296,관측체계 내 확정집계
2024-03-01,G203,모터사이클 및 부품 소매업,65,65,관측체계 내 확정집계
2024-03-01,G204,종합 소매업,3248,3248,관측체계 내 확정집계
2024-03-01,G205,식료품 소매업,1980,1980,관측체계 내 확정집계
2024-03-01,G206,음료 소매업,68,68,관측체계 내 확정집계
2024-03-01,G207,담배 소매업,98,98,관측체계 내 확정집계
2024-03-01,G208,가전제품 및 정보 통신장비 소매업,1305,1305,관측체계 내 확정집계
2024-03-01,G209,"섬유, 의복, 신발 및 가죽제품 소매업",4856,4856,관측체계 내 확정집계
2024-03-01,G210,"철물, 공구, 창호 및 건설자재 소매업",675,675,관측체계 내 확정집계
2024-03-01,G211,가구 소매업,316,316,관측체계 내 확정집계
2024-03-01,G212,기타 생활용품 소매업,571,571,관측체계 내 확정집계
2024-03-01,G213,"문화, 오락 및 여가 용품 소매업",949,949,관측체계 내 확정집계
2024-03-01,G214,연료소매업,407,407,관측체계 내 확정집계
2024-03-01,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",1933,1933,관측체계 내 확정집계
2024-03-01,G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",385,385,관측체계 내 확정집계
2024-03-01,G217,시계 및 귀금속 소매업,334,334,관측체계 내 확정집계
2024-03-01,G218,"예술품, 기념품 및 장식용품 소매업",278,278,관측체계 내 확정집계
2024-03-01,G219,화초 및 식물 소매업,335,335,관측체계 내 확정집계
2024-03-01,G220,애완용 동물 및 관련용품 소매업,321,321,관측체계 내 확정집계
2024-03-01,G221,기타 상품 전문 소매업,260,260,관측체계 내 확정집계
2024-03-01,G222,중고 상품 소매업,369,369,관측체계 내 확정집계
2024-03-01,I101,일반 및 생활 숙박시설 운영업,609,609,관측체계 내 확정집계
2024-03-01,I102,기타 숙박업,49,49,관측체계 내 확정집계
2024-03-01,I201,한식 음식점업,9831,9831,관측체계 내 확정집계
2024-03-01,I202,중식 음식점업,827,827,관측체계 내 확정집계
2024-03-01,I203,일식 음식점업,715,715,관측체계 내 확정집계
2024-03-01,I204,서양식 음식점업,660,660,관측체계 내 확정집계
2024-03-01,I205,동남아시아 음식점업,126,126,관측체계 내 확정집계
2024-03-01,I206,기타 외국식 음식점업,0,0,관측체계 내 확정집계
2024-03-01,I207,구내식당 및 뷔페,214,214,관측체계 내 확정집계
2024-03-01,I210,기타 간이 음식점업,4896,4896,관측체계 내 확정집계
2024-03-01,I211,주점업,2341,2341,관측체계 내 확정집계
2024-03-01,I212,비알코올 음료점업,3854,3854,관측체계 내 확정집계
2024-03-01,L102,부동산관련 서비스업,2533,2533,관측체계 내 확정집계
2024-03-01,M103,법무관련 서비스업,668,668,관측체계 내 확정집계
2024-03-01,M104,회계 및 세무관련 서비스업,337,337,관측체계 내 확정집계
2024-03-01,M105,광고업,979,979,관측체계 내 확정집계
2024-03-01,M106,시장 조사 및 여론 조사업,41,41,관측체계 내 확정집계
2024-03-01,M107,회사 본부 및 경영 컨설팅 서비스업,970,970,관측체계 내 확정집계
2024-03-01,M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",1025,1025,관측체계 내 확정집계
2024-03-01,M111,수의업,104,104,관측체계 내 확정집계
2024-03-01,M112,전문 디자인업,1101,1101,관측체계 내 확정집계
2024-03-01,M113,사진 촬영 및 처리업,482,482,관측체계 내 확정집계
2024-03-01,M114,인쇄 및 제품 제작업,626,626,관측체계 내 확정집계
2024-03-01,M115,"그 외 기타 전문, 과학 및 기술 서비스업",85,85,관측체계 내 확정집계
2024-03-01,N101,사업시설 유지ㆍ관리 서비스업,170,170,관측체계 내 확정집계
2024-03-01,N102,건물ㆍ산업설비 청소 및 방제 서비스업,829,829,관측체계 내 확정집계
2024-03-01,N103,조경관리 및 유지 서비스업,37,37,관측체계 내 확정집계
2024-03-01,N104,고용 알선 및 인력 공급업,377,377,관측체계 내 확정집계
2024-03-01,N105,여행사 및 기타 여행 보조 서비스업,315,315,관측체계 내 확정집계
2024-03-01,N107,사무 지원 서비스업,141,141,관측체계 내 확정집계
2024-03-01,N108,기타 사업 지원 서비스업,350,350,관측체계 내 확정집계
2024-03-01,N109,운송장비 대여업,104,104,관측체계 내 확정집계
2024-03-01,N110,개인 및 가정용품 대여업,255,255,관측체계 내 확정집계
2024-03-01,N111,산업용 기계 및 장비 대여업,185,185,관측체계 내 확정집계
2024-03-01,P105,일반 교육기관,894,894,관측체계 내 확정집계
2024-03-01,P106,기타 교육기관,2028,2028,관측체계 내 확정집계
2024-03-01,P107,교육 지원 서비스업,278,278,관측체계 내 확정집계
2024-03-01,Q101,병원,91,91,관측체계 내 확정집계
2024-03-01,Q102,의원,589,589,관측체계 내 확정집계
2024-03-01,Q104,기타 보건업,76,76,관측체계 내 확정집계
2024-03-01,R102,"도서관, 사적지 및 유사 여가관련 서비스업",330,330,관측체계 내 확정집계
2024-03-01,R103,스포츠 서비스업,1319,1319,관측체계 내 확정집계
2024-03-01,R104,유원지 및 기타 오락관련 서비스업,1846,1846,관측체계 내 확정집계
2024-03-01,S201,컴퓨터 및 주변 기기 수리업,277,277,관측체계 내 확정집계
2024-03-01,S202,통신장비 수리업,45,45,관측체계 내 확정집계
2024-03-01,S203,자동차 수리 및 세차업,1696,1696,관측체계 내 확정집계
2024-03-01,S204,모터사이클 수리업,82,82,관측체계 내 확정집계
2024-03-01,S205,가전제품 수리업,397,397,관측체계 내 확정집계
2024-03-01,S206,기타 개인 및 가정용품 수리업,497,497,관측체계 내 확정집계
2024-03-01,S207,이용 및 미용업,5401,5401,관측체계 내 확정집계
2024-03-01,S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",326,326,관측체계 내 확정집계
2024-03-01,S209,세탁업,772,772,관측체계 내 확정집계
2024-03-01,S210,장례식장 및 관련 서비스업,142,142,관측체계 내 확정집계
2024-03-01,S211,기타 개인서비스,96,96,관측체계 내 확정집계
2024-06-01,G202,자동차 부품 및 내장품 소매업,299,299,관측체계 내 확정집계
