period,category_code,before_count,after_count,category,difference,difference_pct
2024-03-01,G2,19049,19049,소매업,0,0.00000000
2024-03-01,I1,658,658,숙박업,0,0.00000000
2024-03-01,I2,23464,23464,음식점업,0,0.00000000
2024-03-01,L1,2533,2533,부동산업,0,0.00000000
2024-03-01,M1,6418,6418,"전문, 과학 및 기술 서비스업",0,0.00000000
2024-03-01,N1,2763,2763,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2024-03-01,P1,3200,3200,교육 서비스업,0,0.00000000
2024-03-01,Q1,756,756,보건의료업,0,0.00000000
2024-03-01,R1,3495,3495,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2024-03-01,S2,9731,9731,수리 및 개인 서비스업,0,0.00000000
2024-06-01,G2,18716,18716,소매업,0,0.00000000
2024-06-01,I1,656,656,숙박업,0,0.00000000
2024-06-01,I2,22873,22873,음식점업,0,0.00000000
2024-06-01,L1,2487,2487,부동산업,0,0.00000000
2024-06-01,M1,6373,6373,"전문, 과학 및 기술 서비스업",0,0.00000000
2024-06-01,N1,2768,2768,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2024-06-01,P1,3154,3154,교육 서비스업,0,0.00000000
2024-06-01,Q1,752,752,보건의료업,0,0.00000000
2024-06-01,R1,3388,3388,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2024-06-01,S2,9665,9665,수리 및 개인 서비스업,0,0.00000000
2024-09-01,G2,18179,18179,소매업,0,0.00000000
2024-09-01,I1,647,647,숙박업,0,0.00000000
2024-09-01,I2,21946,21946,음식점업,0,0.00000000
2024-09-01,L1,2435,2435,부동산업,0,0.00000000
2024-09-01,M1,6285,6285,"전문, 과학 및 기술 서비스업",0,0.00000000
2024-09-01,N1,2730,2730,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2024-09-01,P1,3104,3104,교육 서비스업,0,0.00000000
2024-09-01,Q1,744,744,보건의료업,0,0.00000000
2024-09-01,R1,3293,3293,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2024-09-01,S2,9504,9504,수리 및 개인 서비스업,0,0.00000000
2024-12-01,G2,20857,20857,소매업,0,0.00000000
2024-12-01,I1,721,721,숙박업,0,0.00000000
2024-12-01,I2,24838,24838,음식점업,0,0.00000000
2024-12-01,L1,2557,2557,부동산업,0,0.00000000
2024-12-01,M1,6878,6878,"전문, 과학 및 기술 서비스업",0,0.00000000
2024-12-01,N1,3208,3208,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2024-12-01,P1,5209,5209,교육 서비스업,0,0.00000000
2024-12-01,Q1,1930,1930,보건의료업,0,0.00000000
2024-12-01,R1,3701,3701,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2024-12-01,S2,10690,10690,수리 및 개인 서비스업,0,0.00000000
2025-03-01,G2,19853,19853,소매업,0,0.00000000
2025-03-01,I1,723,723,숙박업,0,0.00000000
2025-03-01,I2,23661,23661,음식점업,0,0.00000000
2025-03-01,L1,2547,2547,부동산업,0,0.00000000
2025-03-01,M1,6839,6839,"전문, 과학 및 기술 서비스업",0,0.00000000
2025-03-01,N1,3203,3203,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2025-03-01,P1,5274,5274,교육 서비스업,0,0.00000000
2025-03-01,Q1,1937,1937,보건의료업,0,0.00000000
2025-03-01,R1,3603,3603,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2025-03-01,S2,10264,10264,수리 및 개인 서비스업,0,0.00000000
2025-06-01,G2,19707,19707,소매업,0,0.00000000
2025-06-01,I1,735,735,숙박업,0,0.00000000
2025-06-01,I2,23311,23311,음식점업,0,0.00000000
2025-06-01,L1,2528,2528,부동산업,0,0.00000000
2025-06-01,M1,6931,6931,"전문, 과학 및 기술 서비스업",0,0.00000000
2025-06-01,N1,3272,3272,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2025-06-01,P1,5280,5280,교육 서비스업,0,0.00000000
2025-06-01,Q1,1936,1936,보건의료업,0,0.00000000
2025-06-01,R1,3576,3576,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2025-06-01,S2,10329,10329,수리 및 개인 서비스업,0,0.00000000
2025-10-01,G2,20056,20056,소매업,0,0.00000000
2025-10-01,I1,728,728,숙박업,0,0.00000000
2025-10-01,I2,22839,22839,음식점업,0,0.00000000
2025-10-01,L1,2950,2950,부동산업,0,0.00000000
2025-10-01,M1,6943,6943,"전문, 과학 및 기술 서비스업",0,0.00000000
2025-10-01,N1,3247,3247,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2025-10-01,P1,5584,5584,교육 서비스업,0,0.00000000
2025-10-01,Q1,1955,1955,보건의료업,0,0.00000000
2025-10-01,R1,3540,3540,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2025-10-01,S2,10576,10576,수리 및 개인 서비스업,0,0.00000000
2025-12-01,G2,20099,20099,소매업,0,0.00000000
2025-12-01,I1,718,718,숙박업,0,0.00000000
2025-12-01,I2,22803,22803,음식점업,0,0.00000000
2025-12-01,L1,2867,2867,부동산업,0,0.00000000
2025-12-01,M1,6896,6896,"전문, 과학 및 기술 서비스업",0,0.00000000
2025-12-01,N1,3186,3186,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2025-12-01,P1,5551,5551,교육 서비스업,0,0.00000000
2025-12-01,Q1,1958,1958,보건의료업,0,0.00000000
2025-12-01,R1,3551,3551,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2025-12-01,S2,10617,10617,수리 및 개인 서비스업,0,0.00000000
2026-03-01,G2,20184,20184,소매업,0,0.00000000
2026-03-01,I1,719,719,숙박업,0,0.00000000
2026-03-01,I2,23155,23155,음식점업,0,0.00000000
2026-03-01,L1,2797,2797,부동산업,0,0.00000000
2026-03-01,M1,6842,6842,"전문, 과학 및 기술 서비스업",0,0.00000000
2026-03-01,N1,3119,3119,"사업시설 관리, 사업 지원 및 임대 서비스업",0,0.00000000
2026-03-01,P1,5542,5542,교육 서비스업,0,0.00000000
2026-03-01,Q1,1967,1967,보건의료업,0,0.00000000
2026-03-01,R1,3591,3591,"예술, 스포츠 및 여가관련 서비스업",0,0.00000000
2026-03-01,S2,10691,10691,수리 및 개인 서비스업,0,0.00000000
