period,level,name_changed_rows,name_changed_codes,code_changed_rows
2024-03-01,major,72067,10,0
2024-06-01,major,70832,10,0
2024-09-01,major,68867,10,0
2024-12-01,major,80589,10,0
2025-03-01,major,77904,10,0
2025-06-01,major,77605,10,0
2025-10-01,major,78418,10,0
2025-12-01,major,78246,10,0
2026-03-01,major,78607,10,0
2026-06-01,major,80704,10,0
2024-03-01,middle,71387,72,0
2024-06-01,middle,70153,72,0
2024-09-01,middle,68194,72,0
2024-12-01,middle,78802,72,0
2025-03-01,middle,76111,72,0
2025-06-01,middle,75810,72,0
2025-10-01,middle,76600,72,0
2025-12-01,middle,76420,72,0
2026-03-01,middle,76771,72,0
2026-06-01,middle,78891,72,0
2024-03-01,small,223,2,0
2024-06-01,small,217,2,0
2024-09-01,small,215,2,0
2024-12-01,small,278,2,0
2025-03-01,small,280,2,0
2025-06-01,small,284,2,0
2025-10-01,small,278,2,0
2025-12-01,small,275,2,0
2026-03-01,small,272,2,0
2026-06-01,small,291,2,0
