region,category,count_202409,count_202412,change,change_pct
대전,음식,21946,24838,2892,13.18
대전,소매,18179,20857,2678,14.73
대전,교육,3104,5209,2105,67.82
대전,수리·개인,9504,10690,1186,12.48
대전,보건의료,744,1930,1186,159.41
대전,과학·기술,6285,6878,593,9.44
대전,시설관리·임대,2730,3208,478,17.51
대전,예술·스포츠,3293,3701,408,12.39
대전,부동산,2435,2557,122,5.01
대전,숙박,647,721,74,11.44
경기,교육,29639,57097,27458,92.64
경기,음식,167161,191044,23883,14.29
경기,소매,132587,156125,23538,17.75
경기,수리·개인,68004,79053,11049,16.25
경기,보건의료,6585,17476,10891,165.39
경기,과학·기술,64691,72241,7550,11.67
경기,시설관리·임대,23120,28217,5097,22.05
경기,예술·스포츠,26131,30389,4258,16.29
경기,부동산,27394,30795,3401,12.42
경기,숙박,9302,10447,1145,12.31
