period,position,column,dtype
2024-03-01,1,상가업소번호,string
2024-03-01,2,상호명,string
2024-03-01,3,지점명,string
2024-03-01,4,상권업종대분류코드,string
2024-03-01,5,상권업종대분류명,string
2024-03-01,6,상권업종중분류코드,string
2024-03-01,7,상권업종중분류명,string
2024-03-01,8,상권업종소분류코드,string
2024-03-01,9,상권업종소분류명,string
2024-03-01,10,표준산업분류코드,string
2024-03-01,11,표준산업분류명,string
2024-03-01,12,시도코드,string
2024-03-01,13,시도명,string
2024-03-01,14,시군구코드,string
2024-03-01,15,시군구명,string
2024-03-01,16,행정동코드,string
2024-03-01,17,행정동명,string
2024-03-01,18,법정동코드,string
2024-03-01,19,법정동명,string
2024-03-01,20,지번코드,string
2024-03-01,21,대지구분코드,string
2024-03-01,22,대지구분명,string
2024-03-01,23,지번본번지,string
2024-03-01,24,지번부번지,string
2024-03-01,25,지번주소,string
2024-03-01,26,도로명코드,string
2024-03-01,27,도로명,string
2024-03-01,28,건물본번지,string
2024-03-01,29,건물부번지,string
2024-03-01,30,건물관리번호,string
2024-03-01,31,건물명,string
2024-03-01,32,도로명주소,string
2024-03-01,33,구우편번호,string
2024-03-01,34,신우편번호,string
2024-03-01,35,동정보,string
2024-03-01,36,층정보,string
2024-03-01,37,호정보,string
2024-03-01,38,경도,string
2024-03-01,39,위도,string
2024-06-01,1,상가업소번호,string
2024-06-01,2,상호명,string
2024-06-01,3,지점명,string
2024-06-01,4,상권업종대분류코드,string
2024-06-01,5,상권업종대분류명,string
2024-06-01,6,상권업종중분류코드,string
2024-06-01,7,상권업종중분류명,string
2024-06-01,8,상권업종소분류코드,string
2024-06-01,9,상권업종소분류명,string
2024-06-01,10,표준산업분류코드,string
2024-06-01,11,표준산업분류명,string
2024-06-01,12,시도코드,string
2024-06-01,13,시도명,string
2024-06-01,14,시군구코드,string
2024-06-01,15,시군구명,string
2024-06-01,16,행정동코드,string
2024-06-01,17,행정동명,string
2024-06-01,18,법정동코드,string
2024-06-01,19,법정동명,string
2024-06-01,20,지번코드,string
2024-06-01,21,대지구분코드,string
2024-06-01,22,대지구분명,string
2024-06-01,23,지번본번지,string
2024-06-01,24,지번부번지,string
2024-06-01,25,지번주소,string
2024-06-01,26,도로명코드,string
2024-06-01,27,도로명,string
2024-06-01,28,건물본번지,string
2024-06-01,29,건물부번지,string
2024-06-01,30,건물관리번호,string
2024-06-01,31,건물명,string
2024-06-01,32,도로명주소,string
2024-06-01,33,구우편번호,string
2024-06-01,34,신우편번호,string
2024-06-01,35,동정보,string
2024-06-01,36,층정보,string
2024-06-01,37,호정보,string
2024-06-01,38,경도,string
2024-06-01,39,위도,string
2024-09-01,1,상가업소번호,string
2024-09-01,2,상호명,string
2024-09-01,3,지점명,string
2024-09-01,4,상권업종대분류코드,string
2024-09-01,5,상권업종대분류명,string
2024-09-01,6,상권업종중분류코드,string
2024-09-01,7,상권업종중분류명,string
2024-09-01,8,상권업종소분류코드,string
2024-09-01,9,상권업종소분류명,string
2024-09-01,10,표준산업분류코드,string
2024-09-01,11,표준산업분류명,string
2024-09-01,12,시도코드,string
2024-09-01,13,시도명,string
2024-09-01,14,시군구코드,string
2024-09-01,15,시군구명,string
2024-09-01,16,행정동코드,string
2024-09-01,17,행정동명,string
2024-09-01,18,법정동코드,string
2024-09-01,19,법정동명,string
2024-09-01,20,지번코드,string
