period,category_code,category,store_count,confirmed_count,coverage_status
2024-03-01,G20201,타이어 소매업,41,41,관측체계 내 확정집계
2024-03-01,G20202,자동차 부품 소매업,255,255,관측체계 내 확정집계
2024-03-01,G20301,모터사이클 및 부품 소매업,65,65,관측체계 내 확정집계
2024-03-01,G20404,슈퍼마켓,1583,1583,관측체계 내 확정집계
2024-03-01,G20405,편의점,1498,1498,관측체계 내 확정집계
2024-03-01,G20499,그 외 기타 종합 소매업,167,167,관측체계 내 확정집계
2024-03-01,G20501,곡물/곡분 소매업,34,34,관측체계 내 확정집계
2024-03-01,G20502,가축 사료 소매업,8,8,관측체계 내 확정집계
2024-03-01,G20503,정육점,428,428,관측체계 내 확정집계
2024-03-01,G20504,건어물/젓갈 소매업,82,82,관측체계 내 확정집계
2024-03-01,G20505,수산물 소매업,100,100,관측체계 내 확정집계
2024-03-01,G20506,채소/과일 소매업,287,287,관측체계 내 확정집계
2024-03-01,G20507,아이스크림 할인점,8,8,관측체계 내 확정집계
2024-03-01,G20508,건강보조식품 소매업,668,668,관측체계 내 확정집계
2024-03-01,G20509,반찬/식료품 소매업,365,365,관측체계 내 확정집계
2024-03-01,G20601,얼음 소매업,3,3,관측체계 내 확정집계
2024-03-01,G20602,주류 소매업,17,17,관측체계 내 확정집계
2024-03-01,G20603,생수/음료 소매업,30,30,관측체계 내 확정집계
2024-03-01,G20604,우유 소매업,18,18,관측체계 내 확정집계
2024-03-01,G20701,담배/전자담배 소매업,98,98,관측체계 내 확정집계
2024-03-01,G20801,컴퓨터/소프트웨어 소매업,242,242,관측체계 내 확정집계
2024-03-01,G20802,핸드폰 소매업,750,750,관측체계 내 확정집계
2024-03-01,G20803,가전제품 소매업,313,313,관측체계 내 확정집계
2024-03-01,G20901,남성 의류 소매업,288,288,관측체계 내 확정집계
2024-03-01,G20902,여성 의류 소매업,1120,1120,관측체계 내 확정집계
2024-03-01,G20903,유아용 의류 소매업,155,155,관측체계 내 확정집계
2024-03-01,G20904,한복 소매업,21,21,관측체계 내 확정집계
2024-03-01,G20905,기타 의류 소매업,2130,2130,관측체계 내 확정집계
2024-03-01,G20906,침구류/커튼 소매업,344,344,관측체계 내 확정집계
2024-03-01,G20907,액세서리/잡화 소매업,253,253,관측체계 내 확정집계
2024-03-01,G20908,가발 소매업,17,17,관측체계 내 확정집계
2024-03-01,G20909,실/섬유제품 소매업,97,97,관측체계 내 확정집계
2024-03-01,G20910,신발 소매업,289,289,관측체계 내 확정집계
2024-03-01,G20911,가방 소매업,142,142,관측체계 내 확정집계
2024-03-01,G21001,철물/공구 소매업,427,427,관측체계 내 확정집계
2024-03-01,G21002,벽지/장판/마루 소매업,171,171,관측체계 내 확정집계
2024-03-01,G21003,건설/건축자재 소매업,28,28,관측체계 내 확정집계
2024-03-01,G21099,기타 건설/건축자재 소매업,49,49,관측체계 내 확정집계
2024-03-01,G21101,가구 소매업,316,316,관측체계 내 확정집계
2024-03-01,G21201,전기용품/조명장치 소매업,195,195,관측체계 내 확정집계
2024-03-01,G21202,주방/가정용품 소매업,322,322,관측체계 내 확정집계
2024-03-01,G21203,악기 소매업,54,54,관측체계 내 확정집계
2024-03-01,G21301,서점,159,159,관측체계 내 확정집계
2024-03-01,G21302,문구/회화용품 소매업,296,296,관측체계 내 확정집계
2024-03-01,G21303,음반/비디오물 소매업,9,9,관측체계 내 확정집계
2024-03-01,G21304,운동용품 소매업,280,280,관측체계 내 확정집계
2024-03-01,G21305,자전거 소매업,104,104,관측체계 내 확정집계
2024-03-01,G21306,장난감 소매업,101,101,관측체계 내 확정집계
2024-03-01,G21401,주유소,258,258,관측체계 내 확정집계
2024-03-01,G21402,가스 충전소,45,45,관측체계 내 확정집계
2024-03-01,G21403,가정용 연료 소매업,104,104,관측체계 내 확정집계
2024-03-01,G21501,약국,726,726,관측체계 내 확정집계
2024-03-01,G21502,의료기기 소매업,226,226,관측체계 내 확정집계
2024-03-01,G21503,화장품 소매업,981,981,관측체계 내 확정집계
2024-03-01,G21601,사무기기 소매업,63,63,관측체계 내 확정집계
2024-03-01,G21602,안경렌즈 소매업,303,303,관측체계 내 확정집계
2024-03-01,G21603,사진기/기타 광학기기 소매업,19,19,관측체계 내 확정집계
2024-03-01,G21701,시계/귀금속 소매업,334,334,관측체계 내 확정집계
2024-03-01,G21801,예술품 소매업,121,121,관측체계 내 확정집계
2024-03-01,G21802,기념품점,157,157,관측체계 내 확정집계
2024-03-01,G21901,꽃집,335,335,관측체계 내 확정집계
2024-03-01,G22001,애완동물/애완용품 소매업,321,321,관측체계 내 확정집계
2024-03-01,G22199,그 외 기타 상품 전문 소매업,260,260,관측체계 내 확정집계
2024-03-01,G22201,중고 상품 소매업,369,369,관측체계 내 확정집계
2024-03-01,I10101,호텔/리조트,34,34,관측체계 내 확정집계
2024-03-01,I10102,여관/모텔,510,510,관측체계 내 확정집계
2024-03-01,I10103,펜션,61,61,관측체계 내 확정집계
2024-03-01,I10104,캠핑/글램핑,4,4,관측체계 내 확정집계
2024-03-01,I10201,기숙사/고시원,44,44,관측체계 내 확정집계
2024-03-01,I10299,그 외 기타 숙박업,5,5,관측체계 내 확정집계
2024-03-01,I20101,백반/한정식,4758,4758,관측체계 내 확정집계
2024-03-01,I20102,국/탕/찌개류,887,887,관측체계 내 확정집계
2024-03-01,I20103,족발/보쌈,227,227,관측체계 내 확정집계
2024-03-01,I20104,전/부침개,25,25,관측체계 내 확정집계
2024-03-01,I20105,국수/칼국수,727,727,관측체계 내 확정집계
2024-03-01,I20106,냉면/밀면,89,89,관측체계 내 확정집계
2024-03-01,I20107,돼지고기 구이/찜,1674,1674,관측체계 내 확정집계
2024-03-01,I20108,소고기 구이/찜,188,188,관측체계 내 확정집계
2024-03-01,I20109,곱창 전골/구이,195,195,관측체계 내 확정집계
2024-03-01,I20110,닭/오리고기 구이/찜,237,237,관측체계 내 확정집계
2024-03-01,I20111,횟집,400,400,관측체계 내 확정집계
2024-03-01,I20112,해산물 구이/찜,345,345,관측체계 내 확정집계
2024-03-01,I20113,복 요리 전문,17,17,관측체계 내 확정집계
2024-03-01,I20199,기타 한식 음식점,62,62,관측체계 내 확정집계
2024-03-01,I20201,중국집,693,693,관측체계 내 확정집계
2024-03-01,I20202,마라탕/훠궈,134,134,관측체계 내 확정집계
2024-03-01,I20301,일식 회/초밥,555,555,관측체계 내 확정집계
2024-03-01,I20302,일식 카레/돈가스/덮밥,82,82,관측체계 내 확정집계
2024-03-01,I20303,일식 면 요리,77,77,관측체계 내 확정집계
2024-03-01,I20399,기타 일식 음식점,1,1,관측체계 내 확정집계
2024-03-01,I20401,경양식,528,528,관측체계 내 확정집계
2024-03-01,I20402,파스타/스테이크,81,81,관측체계 내 확정집계
2024-03-01,I20403,패밀리레스토랑,15,15,관측체계 내 확정집계
2024-03-01,I20499,기타 서양식 음식점,36,36,관측체계 내 확정집계
2024-03-01,I20501,베트남식 전문,117,117,관측체계 내 확정집계
2024-03-01,I20599,기타 동남아식 전문,9,9,관측체계 내 확정집계
2024-03-01,I20601,분류 안된 외국식 음식점,0,0,관측체계 내 확정집계
2024-03-01,I20701,구내식당,171,171,관측체계 내 확정집계
2024-03-01,I20702,뷔페,43,43,관측체계 내 확정집계
2024-03-01,I21001,빵/도넛,830,830,관측체계 내 확정집계
2024-03-01,I21002,떡/한과,295,295,관측체계 내 확정집계
2024-03-01,I21003,피자,591,591,관측체계 내 확정집계
2024-03-01,I21004,버거,176,176,관측체계 내 확정집계
2024-03-01,I21005,토스트/샌드위치/샐러드,103,103,관측체계 내 확정집계
2024-03-01,I21006,치킨,1239,1239,관측체계 내 확정집계
2024-03-01,I21007,김밥/만두/분식,1413,1413,관측체계 내 확정집계
2024-03-01,I21008,아이스크림/빙수,67,67,관측체계 내 확정집계
2024-03-01,I21099,그 외 기타 간이 음식점,182,182,관측체계 내 확정집계
2024-03-01,I21101,일반 유흥 주점,348,348,관측체계 내 확정집계
2024-03-01,I21102,무도 유흥 주점,20,20,관측체계 내 확정집계
2024-03-01,I21103,생맥주 전문,501,501,관측체계 내 확정집계
2024-03-01,I21104,요리 주점,1472,1472,관측체계 내 확정집계
2024-03-01,I21201,카페,3854,3854,관측체계 내 확정집계
2024-03-01,L10203,부동산 중개/대리업,2533,2533,관측체계 내 확정집계
2024-03-01,M10301,변호사,257,257,관측체계 내 확정집계
2024-03-01,M10302,변리사,108,108,관측체계 내 확정집계
2024-03-01,M10303,법무사,179,179,관측체계 내 확정집계
2024-03-01,M10306,행정사,85,85,관측체계 내 확정집계
2024-03-01,M10307,공인노무사,34,34,관측체계 내 확정집계
2024-03-01,M10399,기타 법무관련 서비스업,5,5,관측체계 내 확정집계
2024-03-01,M10401,공인회계사,34,34,관측체계 내 확정집계
2024-03-01,M10402,세무사,302,302,관측체계 내 확정집계
2024-03-01,M10499,기타 회계 관련 서비스업,1,1,관측체계 내 확정집계
2024-03-01,M10501,광고 대행업,564,564,관측체계 내 확정집계
2024-03-01,M10502,옥외/전시 광고 대행업,49,49,관측체계 내 확정집계
2024-03-01,M10503,광고 매체 판매업,21,21,관측체계 내 확정집계
2024-03-01,M10504,광고물 설계/제작업,301,301,관측체계 내 확정집계
2024-03-01,M10599,기타 광고 관련 서비스업,44,44,관측체계 내 확정집계
2024-03-01,M10601,시장 조사 및 여론 조사업,41,41,관측체계 내 확정집계
2024-03-01,M10703,경영 컨설팅업,970,970,관측체계 내 확정집계
2024-03-01,M10901,건축 설계 및 관련 서비스업,498,498,관측체계 내 확정집계
2024-03-01,M10902,도시 계획 및 조경 설계 서비스업,39,39,관측체계 내 확정집계
2024-03-01,M10903,건물 및 토목 엔지니어링 서비스업,149,149,관측체계 내 확정집계
2024-03-01,M10904,환경 관련 엔지니어링 서비스업,65,65,관측체계 내 확정집계
2024-03-01,M10999,기타 엔지니어링 서비스업,274,274,관측체계 내 확정집계
2024-03-01,M11101,동물병원,104,104,관측체계 내 확정집계
2024-03-01,M11201,인테리어 디자인업,699,699,관측체계 내 확정집계
2024-03-01,M11202,제품 디자인업,79,79,관측체계 내 확정집계
2024-03-01,M11203,시각 디자인업,296,296,관측체계 내 확정집계
2024-03-01,M11204,패션/섬유/기타 전문 디자인업,27,27,관측체계 내 확정집계
2024-03-01,M11301,사진촬영업,482,482,관측체계 내 확정집계
2024-03-01,M11401,명함/간판/광고물 제작,626,626,관측체계 내 확정집계
2024-03-01,M11502,번역/통역 서비스업,23,23,관측체계 내 확정집계
2024-03-01,M11504,사업/무형 재산권 중개업,62,62,관측체계 내 확정집계
2024-03-01,N10101,사업시설 유지·관리 서비스업,170,170,관측체계 내 확정집계
2024-03-01,N10201,건축물 일반 청소업,606,606,관측체계 내 확정집계
2024-03-01,N10202,"산업설비, 운송장비 및 공공장소 청소업",96,96,관측체계 내 확정집계
2024-03-01,N10203,"소독, 구충 및 방제 서비스업",127,127,관측체계 내 확정집계
2024-03-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계
2024-03-01,N10401,고용 알선업,168,168,관측체계 내 확정집계
2024-03-01,N10402,임시/일용 인력 공급업,139,139,관측체계 내 확정집계
2024-03-01,N10403,상용 인력 공급 및 인사관리 서비스업,70,70,관측체계 내 확정집계
2024-03-01,N10501,여행사,290,290,관측체계 내 확정집계
2024-03-01,N10599,기타 여행 보조/예약 서비스업,25,25,관측체계 내 확정집계
2024-03-01,N10703,복사업,112,112,관측체계 내 확정집계
2024-03-01,N10799,기타 사무 지원 서비스업,29,29,관측체계 내 확정집계
2024-03-01,N10802,전시/컨벤션/행사 대행 서비스업,323,323,관측체계 내 확정집계
2024-03-01,N10805,포장/충전업,27,27,관측체계 내 확정집계
2024-03-01,N10901,자동차 대여업,86,86,관측체계 내 확정집계
2024-03-01,N10999,기타 운송장비 대여업,18,18,관측체계 내 확정집계
2024-03-01,N11001,스포츠/레크리에이션 용품 대여업,37,37,관측체계 내 확정집계
2024-03-01,N11002,음반/비디오물 대여업,3,3,관측체계 내 확정집계
2024-03-01,N11003,만화방,17,17,관측체계 내 확정집계
2024-03-01,N11004,의류 대여업,72,72,관측체계 내 확정집계
2024-03-01,N11099,기타 개인/가정용품 대여업,126,126,관측체계 내 확정집계
